t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,325,30,105,340,83,27,3.755,7,21,3.526,127,5,14,387,6060,85,29,0,34,57,5587,26,0,341,0,0,0,0,0,0,0,25,0
20000,91,39,5,665,131,31,3.809,7,26,3.902,247,7,56,937,16093,204,58,0,109,219,15187,31,0,933,0,0,0,0,0,0,0,52,0
30000,111,44,8,637,113,36,3.993,7,31,4.189,309,8,55,1215,25204,318,84,0,204,430,24038,33,0,1210,0,0,0,0,0,0,0,48,0
40000,111,36,13,640,116,31,4.048,8,32,4.341,377,8,49,1526,32923,416,103,0,296,644,31466,33,0,1515,0,0,0,0,0,0,0,55,0
50000,95,36,7,662,113,35,4.155,8,32,4.454,444,8,45,1819,41229,518,122,0,381,834,39495,33,0,1804,0,0,0,0,0,0,0,60,0
60000,110,44,4,642,110,37,4.027,8,35,4.533,526,8,55,2178,51120,650,138,0,490,1105,49031,33,0,2173,0,0,0,0,0,0,0,58,0
70000,73,39,6,682,116,35,4.159,8,38,4.643,602,8,56,2502,58431,738,151,0,581,1299,56033,35,0,2498,0,0,0,0,0,0,0,70,0
80000,68,47,12,673,103,40,4.294,8,42,4.808,672,9,50,2827,66021,841,163,0,685,1530,63290,35,0,2817,0,0,0,0,0,0,0,65,0
90000,112,36,7,645,110,28,4.37,8,44,4.982,746,9,53,3146,74313,937,179,0,782,1783,71292,37,0,3139,0,0,0,0,0,0,0,63,0
100000,81,37,5,677,107,31,4.449,8,44,4.993,804,9,53,3441,82646,1034,199,0,861,1967,79350,37,0,3434,0,0,0,0,0,0,0,64,0
110000,72,49,7,672,98,41,4.331,8,45,4.891,858,10,56,3714,90329,1138,217,0,938,2170,86762,38,0,3710,0,0,0,0,0,0,0,65,0
120000,80,51,13,655,94,39,4.383,8,48,5.104,923,11,50,4032,97753,1236,231,0,1038,2406,93870,39,0,4022,0,0,0,0,0,0,0,53,0
130000,92,44,10,654,100,35,4.467,9,49,5.143,988,11,52,4325,105413,1325,253,0,1122,2621,101264,41,0,4317,0,0,0,0,0,0,0,57,0
140000,97,50,8,645,92,38,4.5,9,49,5.156,1054,12,55,4661,113851,1433,273,0,1218,2872,109379,42,0,4656,0,0,0,0,0,0,0,55,0
150000,112,41,9,638,96,34,4.469,9,48,4.943,1117,13,54,4965,121982,1516,297,0,1312,3095,117229,43,0,4959,0,0,0,0,0,0,0,63,0
