t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,771,3,8,18,2,2,5.75,7,3,1.5,3,2,37,12,21,1,2,0,0,0
10000,747,11,12,30,2,7,3.889,6,8,2.948,10,2,37,35,64,2,6,0,21,0
15000,729,20,13,38,0,11,3.909,6,10,3.278,21,2,34,68,115,3,9,0,49,0
20000,693,29,24,54,5,19,3.042,6,13,3.266,48,4,27,119,211,5,18,0,99,0
25000,654,31,38,77,17,21,2.737,5,11,2.851,85,5,25,183,327,12,25,0,155,0
30000,601,49,53,97,13,39,2.635,5,13,2.955,155,7,18,280,536,20,33,0,248,0
35000,588,58,54,100,15,40,2.618,4,16,3.272,221,8,15,377,724,23,46,0,350,0
40000,525,67,75,133,28,47,2.56,5,16,2.892,309,8,21,494,963,34,64,0,456,0
45000,510,60,96,134,39,49,2.455,6,14,2.843,425,9,11,624,1253,42,88,0,620,0
50000,530,72,73,125,21,53,2.5,6,12,2.908,537,10,16,751,1550,51,113,0,800,0
55000,546,56,75,123,32,47,2.367,5,13,2.686,661,11,13,873,1855,60,135,0,987,0
60000,523,70,78,129,28,55,2.422,5,12,2.794,774,12,15,997,2144,72,154,0,1139,0
65000,551,56,83,110,30,46,2.461,4,14,3.034,906,12,13,1127,2473,91,170,0,1331,0
70000,564,60,60,116,19,49,2.515,5,15,3.037,1000,13,14,1246,2720,98,201,0,1491,0
75000,571,51,76,102,30,39,2.464,5,15,2.876,1110,13,14,1366,2990,110,222,0,1644,0
80000,564,57,70,109,23,48,2.394,4,11,2.494,1205,13,21,1472,3242,120,244,0,1789,0
85000,592,49,55,104,25,39,2.391,4,10,2.685,1316,14,16,1592,3526,127,266,0,1961,0
90000,579,54,60,107,26,39,2.431,5,13,2.586,1421,14,15,1712,3806,146,287,0,2111,0
95000,545,71,64,120,14,53,2.567,6,14,2.943,1510,15,18,1821,4059,157,303,0,2233,0
100000,544,56,87,113,31,42,2.658,6,18,3.287,1603,16,15,1920,4304,166,322,0,2379,0
105000,523,62,88,127,31,47,2.564,5,17,2.921,1705,17,11,2041,4587,177,341,0,2537,0
110000,517,77,69,137,18,57,2.573,5,13,3.031,1789,17,18,2161,4832,182,356,0,2677,0
115000,541,63,64,132,25,46,2.62,5,17,3.212,1894,17,14,2284,5096,189,379,0,2847,0
120000,510,57,96,137,45,43,2.466,5,14,2.838,2008,18,18,2406,5391,204,404,0,3003,0
125000,566,61,53,120,24,45,2.391,4,12,2.743,2111,18,18,2534,5669,214,426,0,3195,0
130000,500,66,106,128,40,55,2.379,4,13,2.756,2245,20,17,2645,5998,223,453,0,3351,0
135000,529,61,96,114,37,48,2.353,6,12,2.539,2368,20,12,2785,6317,242,480,0,3550,0
140000,563,56,69,112,24,47,2.366,5,13,2.468,2479,20,12,2912,6596,256,499,0,3722,0
145000,591,53,60,96,13,41,2.704,5,14,3.302,2556,21,21,3012,6815,264,526,0,3866,0
150000,568,60,59,113,20,44,2.484,5,13,2.839,2653,21,21,3129,7074,274,542,0,4002,0
