t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,792,1,0,7,0,1,4,4,1,0,0,0,300,3,50,2,0,0,2,46
10000,791,0,0,9,2,0,4.5,5,2,1,1,1,300,6,164,4,0,0,3,158
15000,787,1,0,12,1,1,5,6,2,1,1,1,300,10,263,4,2,0,4,254
20000,784,2,0,14,2,2,3,5,3,1.5,4,2,299,20,437,9,2,0,11,417
25000,786,1,0,13,2,1,3.333,6,2,0.918,5,2,298,27,568,10,3,0,17,543
30000,793,0,0,7,2,0,3.5,4,2,1,7,2,300,29,744,11,3,0,23,718
35000,792,0,0,8,3,0,2.667,3,2,0.918,8,2,300,32,830,13,3,0,26,800
40000,790,0,0,10,4,0,2.5,3,2,1,11,3,300,40,995,16,3,0,30,957
45000,798,0,0,2,1,0,2,2,1,0,11,3,300,40,1129,19,3,0,35,1091
50000,798,0,0,2,1,0,2,2,1,0,12,4,300,41,1161,19,3,0,36,1121
55000,794,0,0,6,3,0,2,2,1,0,14,4,300,45,1230,19,3,0,36,1186
60000,800,0,0,0,0,0,0,0,0,0,14,4,300,45,1267,19,3,0,39,1223
65000,800,0,0,0,0,0,0,0,0,0,14,4,300,45,1267,19,3,0,39,1223
