t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,204,85,199,151,4,26,9.8,10,4,1.266,33,2,2,63,448,104,0,0,29,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,153,98,193,196,3,31,9.265,10,7,1.78,52,2,1,137,639,157,0,0,76,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,156,109,168,207,2,26,9.643,10,4,1.307,71,2,1,188,823,206,0,0,138,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,162,104,149,225,3,26,9,10,7,1.853,92,3,0,248,963,251,0,0,192,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,109,123,144,264,3,24,9.407,10,4,1.328,107,4,0,316,1117,297,0,0,231,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,132,121,134,253,2,23,10,10,2,0.904,135,4,0,373,1265,339,0,0,298,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,146,121,141,232,0,22,9.864,10,5,1.639,165,4,1,432,1442,396,0,0,365,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,128,128,140,244,1,24,9.08,10,8,2.174,184,4,0,490,1581,436,0,0,412,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,115,132,158,235,0,23,9.957,10,3,1.215,207,4,2,543,1756,489,0,0,466,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,109,135,122,274,0,25,9.84,10,4,1.391,225,5,0,611,1891,532,0,0,509,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
