t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,245,96,110,189,4,19,8.304,10,9,2.305,41,3,2,67,464,121,0,0,60,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,173,118,115,234,2,22,8.875,10,7,1.934,78,3,0,129,721,200,0,0,141,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,159,120,95,266,2,21,8.609,10,7,2.036,111,3,2,204,922,249,0,0,220,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,134,137,82,287,3,21,8.208,10,8,2.27,141,3,1,270,1145,316,0,0,291,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,175,111,104,250,5,19,8.167,10,8,2.299,202,4,1,335,1405,386,0,0,415,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,129,133,100,278,3,20,8.783,10,6,1.826,245,4,1,390,1665,468,0,0,499,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,127,133,70,310,4,24,7.429,10,12,2.992,290,4,1,455,1847,524,0,0,581,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,106,139,90,305,1,22,9.783,10,3,1.209,327,4,0,512,2100,597,0,0,673,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,86,145,51,358,0,26,9.769,10,3,1.196,346,5,4,562,2214,637,0,0,719,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,89,155,22,374,0,24,9.708,10,3,1.207,357,5,4,619,2297,668,0,0,747,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
