t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,729,19,2,50,2,12,3,6,5,1.627,23,4,293,59,93,0,0,0,23,0
10000,635,46,5,114,11,34,2.422,5,9,1.768,93,7,284,215,305,0,0,0,87,0
15000,405,104,19,272,37,89,2.27,5,9,1.131,295,11,261,600,862,0,0,0,233,0
20000,341,113,21,325,56,97,2.196,5,8,1.006,564,14,236,1124,1562,0,0,0,511,0
25000,356,114,23,307,46,99,2.207,5,9,1.085,837,16,239,1665,2301,0,0,0,832,0
30000,371,122,16,291,30,106,2.184,5,10,1.199,1087,20,257,2165,2967,0,0,0,1131,0
35000,324,128,13,335,44,113,2.191,4,8,1.07,1374,22,247,2727,3719,0,0,0,1430,0
40000,333,125,18,324,45,112,2.172,5,8,1.276,1640,23,251,3240,4412,0,0,0,1732,0
45000,369,114,23,294,45,100,2.138,5,7,1.041,1897,25,255,3739,5089,0,0,0,2023,0
50000,335,129,11,325,42,115,2.127,5,7,0.831,2196,28,247,4311,5859,0,0,0,2333,0
55000,274,139,18,369,54,128,2.093,5,6,0.824,2525,29,245,4934,6690,0,0,0,2663,0
60000,360,116,11,313,43,106,2.121,5,6,0.918,2809,30,245,5465,7416,0,0,0,2998,0
65000,321,124,17,338,51,112,2.147,5,9,1.12,3087,32,243,6020,8154,0,0,0,3287,0
70000,321,129,11,339,49,114,2.123,5,8,0.833,3372,34,240,6560,8887,0,0,0,3597,0
75000,325,109,33,333,73,98,2.105,4,6,0.84,3692,35,242,7146,9668,0,0,0,3925,0
80000,275,143,16,366,50,130,2.083,4,5,0.725,3994,38,250,7753,10464,0,0,0,4238,0
85000,306,135,12,347,46,125,2.088,4,5,0.886,4285,39,248,8280,11192,0,0,0,4550,0
90000,378,113,23,286,46,102,2.081,3,4,0.995,4585,40,248,8821,11957,0,0,0,4888,0
95000,316,120,20,344,64,111,2.074,3,4,0.894,4896,40,235,9412,12737,0,0,0,5181,0
100000,315,127,17,341,53,117,2.088,3,4,0.82,5210,42,242,10012,13543,0,0,0,5513,0
