t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
10000,786,2,2,10,4,2,2,2,1,0,6,2,298,10,10,0,0,0,1,0,3,0,0
15000,576,57,13,154,25,56,2.049,3,4,0.776,99,7,265,185,260,3,6,0,20,0,4,0,0
20000,144,170,13,473,73,167,2.025,3,5,0.837,344,10,255,675,912,10,16,0,114,0,6,0,0
25000,91,179,4,526,87,174,2.023,3,6,0.917,504,10,269,999,1306,15,23,0,257,0,6,0,0
30000,109,178,3,510,80,173,2.028,3,6,0.963,655,11,279,1297,1685,21,28,0,420,0,6,0,0
35000,103,174,16,507,86,170,2.039,3,6,1.037,800,12,272,1578,2050,28,33,0,564,0,6,0,0
40000,108,176,9,507,81,170,2.044,3,7,1.111,953,13,269,1896,2446,30,38,0,726,0,6,0,0
45000,97,193,10,500,64,184,2.044,3,7,1.156,1115,13,269,2216,2865,40,48,0,896,0,6,0,0
50000,87,188,11,514,75,178,2.063,4,9,1.326,1263,14,263,2517,3234,46,53,0,1044,0,6,0,0
