t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,769,7,1,23,1,3,5,5,2,0.811,3,3,294,19,26,0,1,1,2,0,0,0,0,0
10000,726,20,2,52,0,10,4.5,5,3,1.485,9,4,294,52,73,1,1,1,6,0,0,0,0,0
15000,586,59,3,152,1,28,4.345,10,10,2.702,30,7,290,169,228,2,4,6,22,0,0,0,0,0
20000,406,111,2,281,6,58,3.75,9,18,3.312,69,10,286,333,441,4,8,21,58,0,0,0,0,1
25000,210,164,10,416,17,93,3.4,9,26,3.37,127,10,271,519,689,7,18,29,101,0,0,0,0,1
30000,66,209,4,521,19,120,3.273,14,28,3.348,187,10,284,719,942,11,22,42,174,0,0,0,0,2
35000,64,206,1,529,24,114,3.29,13,27,3.387,235,10,288,867,1104,13,26,61,273,0,0,0,0,2
40000,55,201,10,534,35,103,3.304,13,30,3.445,281,10,279,1009,1272,16,32,74,366,0,0,0,0,2
45000,56,211,4,529,18,110,3.398,13,33,3.709,320,11,295,1139,1431,18,33,94,460,0,0,0,0,2
50000,29,228,0,543,15,116,3.397,13,35,3.811,346,12,294,1234,1554,20,34,111,525,0,0,0,0,2
55000,48,212,1,539,25,99,3.548,15,33,3.906,375,12,289,1339,1665,25,36,134,602,0,0,0,0,2
60000,54,205,5,536,25,92,3.65,16,35,4.084,404,12,286,1444,1780,29,38,162,681,0,0,0,0,3
65000,40,216,1,543,19,99,3.746,16,38,4.067,436,13,289,1547,1898,30,40,180,752,0,0,0,0,3
70000,51,221,3,525,16,92,3.898,16,35,4.258,461,13,293,1635,2008,30,40,193,827,0,0,0,0,4
75000,35,227,0,538,8,96,4.096,15,37,4.413,476,13,295,1728,2114,31,40,216,893,0,0,0,0,4
80000,39,225,3,533,14,87,4.149,15,35,4.364,492,14,291,1803,2198,33,41,237,959,0,0,0,0,4
85000,38,227,5,530,10,86,4.063,17,35,4.185,507,14,297,1872,2272,33,42,257,1018,0,0,0,0,4
90000,47,216,2,535,12,82,4.383,19,39,4.381,529,15,290,1963,2358,33,43,271,1083,0,0,0,0,4
95000,46,222,2,530,3,86,4.551,27,38,4.445,537,16,293,2014,2420,35,44,281,1127,0,0,0,0,4
100000,46,223,1,530,7,75,4.817,27,38,4.628,551,16,298,2074,2494,36,46,291,1169,0,0,0,0,4
