t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,5,195,0,600,71,149,2.509,7,17,1.625,282,9,235,738,936,17,11,0,77,51,0,6,0,0,0,0,0,0,0,0,0,0,0
20000,1,190,1,608,85,141,2.473,7,18,1.695,372,9,238,943,1162,23,18,0,174,113,0,6,0,0,0,0,0,0,0,0,0,0,0
30000,7,191,0,602,85,139,2.455,7,17,1.899,456,11,240,1147,1402,24,19,0,277,173,0,6,0,0,0,0,0,0,0,0,0,0,0
40000,0,211,1,588,71,152,2.426,7,19,1.823,529,11,242,1312,1620,28,20,0,364,226,0,6,0,0,0,0,0,0,0,0,0,0,0
50000,10,212,1,577,63,156,2.438,7,18,1.951,587,11,243,1452,1787,30,25,0,443,263,0,6,0,0,0,0,0,0,0,0,0,0,0
60000,0,217,0,583,58,157,2.451,8,16,1.883,666,12,245,1648,2022,36,27,0,537,310,0,6,0,0,0,0,0,0,0,0,0,0,0
70000,5,205,1,589,77,146,2.466,8,16,1.942,739,12,246,1803,2194,39,29,0,616,349,0,6,0,0,0,0,0,0,0,0,0,0,0
80000,11,208,0,581,69,154,2.399,8,19,1.877,815,12,238,1988,2405,43,35,0,703,419,0,6,0,0,0,0,0,0,0,0,0,0,0
90000,2,199,1,598,80,142,2.464,8,20,2.115,906,12,221,2206,2647,48,39,0,801,478,0,6,0,0,0,0,0,0,0,0,0,0,0
100000,0,213,0,587,66,153,2.493,8,22,2.186,995,13,247,2403,2890,52,42,0,903,549,0,6,0,0,0,0,0,0,0,0,0,0,0
110000,3,210,0,587,72,149,2.48,8,22,2.198,1064,13,244,2567,3068,53,49,0,984,606,0,6,0,0,0,0,0,0,0,0,0,0,0
120000,13,197,2,588,73,142,2.558,8,22,2.429,1147,13,233,2774,3297,59,53,0,1081,673,0,6,0,0,0,0,0,0,0,0,0,0,0
130000,7,217,0,576,60,154,2.486,7,22,2.364,1215,13,245,2938,3503,63,55,0,1167,734,0,6,0,0,0,0,0,0,0,0,0,0,0
140000,4,208,0,588,72,147,2.443,7,23,2.331,1294,14,244,3129,3711,68,59,0,1251,791,0,6,0,0,0,0,0,0,0,0,0,0,0
150000,7,207,2,584,66,144,2.51,7,23,2.503,1356,14,245,3285,3899,74,61,0,1330,834,0,6,0,0,0,0,0,0,0,0,0,0,0
