t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,20,193,2,585,75,164,2.322,6,10,1.785,284,10,292,667,874,28,15,0,60,0,4,0,0,0,0,0,0,0,0,0,0,0
20000,21,178,3,598,92,149,2.361,6,12,1.973,388,10,283,897,1145,35,19,0,175,0,4,0,0,0,0,0,0,0,0,0,0,0
30000,16,194,1,589,78,160,2.336,7,14,2.022,458,10,284,1057,1347,42,23,0,271,0,4,0,0,0,0,0,0,0,0,0,0,0
40000,10,195,2,593,85,156,2.34,6,15,2.161,530,11,287,1220,1536,44,26,0,361,0,4,0,0,0,0,0,0,0,0,0,0,0
50000,15,211,2,572,65,165,2.317,6,15,2.238,599,11,294,1376,1739,49,27,0,457,0,4,0,0,0,0,0,0,0,0,0,0,0
60000,9,208,0,583,73,164,2.329,6,14,2.265,678,12,296,1554,1938,53,32,0,549,0,4,0,0,0,0,0,0,0,0,0,0,0
70000,11,199,2,588,81,156,2.342,6,13,2.245,757,12,290,1729,2145,60,35,0,642,0,4,0,0,0,0,0,0,0,0,0,0,0
80000,15,193,0,592,85,155,2.379,6,15,2.467,837,13,295,1904,2347,61,40,0,739,0,4,0,0,0,0,0,0,0,0,0,0,0
90000,13,209,3,575,59,166,2.418,6,15,2.572,885,13,291,2033,2518,63,46,0,820,0,4,0,0,0,0,0,0,0,0,0,0,0
100000,10,215,0,575,57,166,2.413,6,15,2.54,941,13,294,2167,2682,64,51,0,895,0,4,0,0,0,0,0,0,0,0,0,0,0
