t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,391,3,0,6,0,3,2,2,1,0,4,2,300,8,14,1,0,0,2,0,0,4,0
10000,397,1,0,2,0,1,2,2,1,0,6,2,300,12,19,2,1,0,2,0,0,9,0
15000,395,1,0,4,1,1,2,2,2,1,8,3,299,16,23,2,2,0,2,0,0,10,0
20000,394,2,0,4,0,2,2,2,1,0,11,5,299,21,32,2,2,0,4,0,0,11,0
25000,382,6,0,12,0,6,2,2,1,0,23,6,296,43,64,3,2,0,8,0,0,15,0
30000,390,2,0,8,2,2,2,2,1,0,34,8,299,65,94,3,3,0,10,0,0,26,0
35000,389,3,0,8,1,3,2,2,1,0,39,9,299,75,110,4,3,0,11,0,0,30,0
40000,371,5,6,18,7,5,2,2,2,0.65,55,12,295,99,148,7,3,0,14,0,0,35,0
45000,385,5,0,10,0,5,2,2,2,0.722,75,14,296,142,207,8,4,0,23,0,0,53,0
50000,377,5,3,15,4,5,2,2,1,0,94,17,297,174,254,9,4,0,24,0,0,67,0
55000,367,7,3,23,5,7,2.167,3,3,1.252,126,20,296,239,344,12,8,0,34,0,0,89,0
60000,354,12,2,32,3,11,2.286,3,2,0.863,159,23,295,313,441,14,11,3,44,0,0,116,0
65000,331,18,2,49,7,18,2.04,3,3,0.482,197,23,289,386,544,15,12,3,54,0,0,141,0
70000,329,17,4,50,9,16,2.12,3,4,1.145,251,25,291,487,690,21,15,4,61,0,0,194,0
75000,333,16,5,46,9,16,2.04,3,2,0.242,310,26,285,604,846,23,20,5,79,0,0,244,0
80000,335,15,3,47,10,15,2,2,1,0,360,29,288,700,971,25,21,5,98,0,0,277,0
85000,339,16,4,41,6,16,2.045,3,3,0.832,403,31,296,780,1090,27,23,5,113,0,0,309,0
90000,305,23,3,69,13,23,2,2,2,0.503,472,33,285,910,1264,31,25,5,128,0,0,352,0
95000,332,18,1,49,6,18,2.042,3,3,0.785,538,34,288,1042,1440,37,29,6,155,0,0,406,0
100000,355,9,3,33,9,9,2,2,2,0.918,588,36,290,1135,1566,41,31,6,178,0,0,442,0
