t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,239,29,113,419,140,26,3.066,8,23,3.536,209,6,57,499,8721,127,45,0,47,73,8158,28,0,239,0,0,0,0,0,0,0,26,0
20000,120,31,29,620,172,25,3.132,9,32,3.891,340,7,130,965,19957,276,79,0,162,270,18997,32,0,684,0,0,0,0,0,0,0,45,0
30000,130,36,19,615,157,32,3.222,8,29,3.945,446,7,177,1321,30887,410,103,0,294,517,29577,32,0,1037,0,0,0,0,0,0,0,44,0
40000,102,29,22,647,157,26,3.432,8,35,4.374,532,8,169,1651,40624,518,131,0,398,712,39015,34,0,1315,0,0,0,0,0,0,0,40,0
50000,96,38,25,641,135,31,3.711,9,44,4.678,601,8,191,1937,49032,623,156,0,501,904,47143,35,0,1584,0,0,0,0,0,0,0,46,0
60000,91,34,22,653,126,31,4,9,40,4.726,672,9,171,2244,57934,734,182,0,599,1107,55764,36,0,1822,0,0,0,0,0,0,0,43,0
70000,91,31,26,652,132,24,4.077,10,42,4.767,758,9,142,2585,65698,827,201,0,709,1346,63194,36,0,2101,0,0,0,0,0,0,0,45,0
80000,123,42,28,607,106,38,3.972,10,44,4.803,827,10,167,2875,73793,931,226,0,810,1596,70992,36,0,2386,0,0,0,0,0,0,0,36,0
90000,101,41,21,637,118,32,4.047,9,43,4.869,907,11,166,3201,82250,1037,241,0,899,1818,79133,37,0,2672,0,0,0,0,0,0,0,37,0
100000,88,27,28,657,136,24,4,8,44,4.88,981,12,172,3495,89632,1131,258,0,984,2014,86244,40,0,2925,0,0,0,0,0,0,0,40,0
110000,107,28,18,647,125,25,4.113,8,47,4.979,1049,12,186,3808,98059,1246,280,0,1079,2253,94372,40,0,3224,0,0,0,0,0,0,0,55,0
120000,114,34,33,619,114,31,4.138,8,47,5.042,1126,13,168,4131,106728,1351,295,0,1186,2502,102703,40,0,3486,0,0,0,0,0,0,0,45,0
130000,127,29,19,625,126,26,3.987,8,44,4.95,1214,13,161,4491,116153,1490,312,0,1285,2758,111806,44,0,3802,0,0,0,0,0,0,0,35,0
140000,122,51,36,591,91,40,4.176,8,45,5.029,1277,13,142,4808,125002,1620,344,0,1393,3008,120319,44,0,4052,0,0,0,0,0,0,0,31,0
150000,86,45,23,646,101,38,4.388,8,50,5.173,1350,13,170,5130,132282,1722,366,0,1479,3206,127303,45,0,4342,0,0,0,0,0,0,0,42,0
