t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,13,205,0,582,72,176,2.266,6,12,1.881,307,9,290,695,895,22,12,0,66,39,0,10,0,0,0,0,0,0,0,0,0,0,0
20000,15,206,1,578,70,173,2.272,6,13,2.003,393,9,293,887,1132,27,16,0,164,89,0,10,0,0,0,0,0,0,0,0,0,0,0
30000,11,201,0,588,86,164,2.256,6,13,1.997,473,11,293,1061,1335,32,20,0,249,129,0,10,0,0,0,0,0,0,0,0,0,0,0
40000,20,204,0,576,80,164,2.246,6,15,1.953,568,11,290,1271,1588,34,27,0,362,184,0,10,0,0,0,0,0,0,0,0,0,0,0
50000,13,219,1,567,63,180,2.243,6,15,1.94,659,11,294,1460,1841,37,29,0,463,236,0,10,0,0,0,0,0,0,0,0,0,0,0
60000,6,198,2,594,88,164,2.234,6,15,1.926,751,12,293,1661,2054,43,32,0,553,285,0,10,0,0,0,0,0,0,0,0,0,0,0
70000,13,196,1,590,82,167,2.261,6,17,2.104,851,14,285,1881,2313,46,37,0,665,343,0,10,0,0,0,0,0,0,0,0,0,0,0
80000,12,204,1,583,77,170,2.255,6,15,1.922,942,14,291,2083,2568,52,41,0,769,398,0,10,0,0,0,0,0,0,0,0,0,0,0
90000,18,204,1,577,74,169,2.284,6,15,2.008,1024,14,288,2259,2784,55,42,0,859,444,0,10,0,0,0,0,0,0,0,0,0,0,0
100000,9,192,1,598,89,161,2.284,6,15,2.069,1128,14,295,2491,3045,59,47,0,963,504,0,10,0,0,0,0,0,0,0,0,0,0,0
110000,22,191,5,582,85,162,2.279,7,15,2.041,1223,14,289,2696,3296,66,49,0,1074,570,0,10,0,0,0,0,0,0,0,0,0,0,0
120000,15,199,2,584,83,167,2.26,7,15,2.092,1324,14,278,2908,3561,72,49,0,1179,629,0,10,0,0,0,0,0,0,0,0,0,0,0
130000,10,203,3,584,72,176,2.274,7,16,2.097,1411,16,286,3112,3804,74,56,0,1282,685,0,10,0,0,0,0,0,0,0,0,0,0,0
140000,8,199,2,591,84,168,2.258,7,16,2.196,1505,16,295,3322,4051,79,59,0,1380,744,0,10,0,0,0,0,0,0,0,0,0,0,0
150000,16,205,3,576,76,170,2.256,7,15,2.241,1589,16,290,3506,4276,84,63,0,1478,804,0,10,0,0,0,0,0,0,0,0,0,0,0
