t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
10000,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
15000,796,1,0,3,0,1,2,2,1,0,0,0,300,3,1,0,1,0,0,0,1,0,0
20000,753,13,2,32,5,10,2.267,3,5,1.738,14,4,291,36,40,1,4,0,3,0,4,0,0
25000,387,97,18,298,54,92,2.123,4,9,1.296,176,8,242,360,479,8,16,0,40,0,4,0,0
30000,137,179,8,476,61,170,2.074,4,9,1.183,393,10,268,808,1056,23,24,0,187,0,4,0,0
35000,80,193,9,518,71,182,2.083,3,9,1.072,566,11,272,1147,1481,27,29,0,348,0,4,0,0
40000,76,194,11,519,73,180,2.079,3,8,1.097,702,11,283,1424,1832,37,33,0,492,0,4,0,0
45000,103,188,9,500,70,170,2.096,3,9,1.186,839,12,273,1701,2191,41,41,0,648,0,4,0,0
50000,131,194,8,467,50,174,2.103,3,9,1.253,985,12,279,1994,2560,46,47,0,819,0,4,0,0
55000,75,187,6,532,81,173,2.106,3,9,1.255,1155,13,267,2346,2975,55,52,0,973,0,4,0,0
60000,103,180,11,506,82,161,2.111,3,9,1.298,1290,14,273,2609,3314,61,58,0,1126,0,4,0,0
65000,97,188,7,508,68,170,2.134,3,9,1.526,1444,16,273,2933,3715,72,65,0,1294,0,4,0,0
70000,85,190,9,516,73,168,2.145,4,10,1.558,1580,17,272,3216,4069,76,75,0,1441,0,4,0,0
75000,108,182,9,501,74,162,2.14,3,9,1.624,1723,19,269,3504,4419,86,81,0,1606,0,4,0,0
80000,88,195,11,506,65,171,2.165,3,9,1.746,1867,19,269,3794,4799,92,84,0,1756,0,4,0,0
85000,102,185,10,503,67,166,2.172,3,9,1.62,1988,19,277,4046,5111,97,90,0,1898,0,4,0,0
90000,83,202,2,513,60,178,2.143,3,9,1.621,2112,19,274,4312,5460,105,94,0,2039,0,4,0,0
95000,102,194,8,496,60,169,2.162,3,9,1.799,2228,19,277,4553,5761,116,104,0,2177,0,4,0,0
100000,89,194,11,506,67,168,2.17,4,10,1.931,2368,20,275,4833,6116,118,110,0,2325,0,4,0,0
