t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,781,5,0,14,0,2,5.5,6,2,1,1,1,38,3,14,0,0,0,1,0
10000,728,17,10,45,1,8,4.889,7,8,2.948,9,4,39,10,70,2,10,0,14,0
15000,664,35,14,87,5,18,3.435,6,11,3.06,29,5,35,32,179,3,14,0,55,0
20000,555,65,23,157,13,38,2.98,7,15,2.964,79,8,29,78,376,7,28,0,128,0
25000,383,101,62,254,47,65,2.58,7,19,2.911,223,11,16,174,795,22,49,0,292,0
30000,354,120,56,270,34,75,2.771,8,19,3.403,373,12,9,286,1250,47,79,0,549,0
35000,307,125,58,310,40,85,2.72,7,20,3.348,525,12,15,393,1691,72,103,0,792,0
40000,353,127,41,279,37,77,2.64,7,19,3.255,676,12,22,502,2116,89,123,0,1054,0
45000,325,125,55,295,43,84,2.535,8,17,3.018,834,13,17,610,2556,104,151,0,1295,0
50000,329,130,35,306,35,84,2.664,8,19,3.278,985,15,18,724,2989,119,169,0,1537,0
55000,313,134,48,305,42,86,2.547,6,16,3.108,1152,15,17,836,3447,132,191,0,1793,0
60000,273,140,70,317,52,93,2.503,6,18,2.874,1319,16,18,940,3906,142,215,0,2034,0
65000,305,136,47,312,34,91,2.632,5,18,3.161,1468,18,16,1056,4341,162,232,0,2287,0
70000,296,133,64,307,47,92,2.518,5,16,2.981,1630,19,16,1160,4774,181,250,0,2530,0
75000,325,119,62,294,45,80,2.648,5,19,3.254,1780,19,19,1270,5194,200,281,0,2778,0
80000,302,127,71,300,44,86,2.669,8,17,3.083,1944,19,18,1372,5656,215,306,0,3036,0
85000,312,131,54,303,42,85,2.614,7,19,3.227,2081,21,19,1471,6046,234,326,0,3268,0
90000,289,135,76,300,47,88,2.578,6,19,3.098,2240,22,21,1573,6482,250,349,0,3506,0
95000,334,126,65,275,35,84,2.655,7,20,3.396,2391,22,14,1678,6894,261,364,0,3762,0
100000,294,131,56,319,40,89,2.752,7,24,3.573,2541,23,18,1784,7313,281,393,0,3991,0
105000,286,137,61,316,46,87,2.639,5,17,3.337,2689,24,19,1891,7730,295,424,0,4249,0
110000,311,128,58,303,40,87,2.669,5,18,3.336,2851,25,16,1994,8168,307,448,0,4518,0
115000,296,135,57,312,39,93,2.629,4,14,3.202,2993,25,20,2102,8591,319,466,0,4758,0
120000,283,140,84,293,49,99,2.419,4,14,2.761,3179,26,19,2224,9069,338,497,0,5025,0
125000,314,127,75,284,46,92,2.471,5,14,2.816,3362,27,14,2347,9551,350,522,0,5310,0
130000,348,123,53,276,36,90,2.452,4,13,2.75,3530,29,16,2450,9996,367,549,0,5576,0
135000,320,128,63,289,45,87,2.545,5,14,3.098,3707,31,15,2560,10466,387,579,0,5828,0
140000,323,124,68,285,47,87,2.485,5,12,2.923,3882,31,20,2668,10922,399,605,0,6090,0
145000,284,133,85,298,55,95,2.453,5,16,2.957,4063,33,15,2786,11371,422,634,0,6318,0
150000,303,136,73,288,49,92,2.426,5,14,2.892,4233,33,21,2896,11825,434,656,0,6573,0
