t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,180,24,126,182,63,18,3.321,7,14,2.894,113,5,2,253,7488,15,10,0,56,101,0,0,7032,9,0,0,0,0,0,0,0,0,0,0,0
40000,95,26,147,244,77,21,3.592,7,16,3.225,218,6,0,488,17327,40,16,0,170,292,0,0,16489,10,0,0,0,0,0,0,0,0,0,0,0
60000,129,23,129,231,69,21,3.556,7,16,3.506,309,7,0,733,28187,76,25,0,305,562,0,0,26982,11,0,0,0,0,0,0,0,0,0,0,0
80000,84,19,135,274,91,18,3.486,7,17,3.522,426,8,0,1002,39615,108,30,0,427,796,0,0,38013,12,0,0,0,0,0,0,0,0,0,0,0
100000,89,20,143,260,94,17,3.324,7,20,3.58,546,9,1,1253,50930,136,41,0,573,1069,0,0,48919,13,0,0,0,0,0,0,0,0,0,0,0
120000,94,26,140,252,83,21,3.452,7,19,3.653,651,9,1,1508,61911,163,49,0,715,1329,0,0,59507,13,0,0,0,0,0,0,0,0,0,0,0
140000,91,20,145,256,88,19,3.495,7,20,3.661,761,10,0,1738,71917,184,58,0,844,1595,0,0,69124,13,0,0,0,0,0,0,0,0,0,0,0
160000,96,22,138,256,85,18,3.534,7,17,3.583,868,10,0,1992,82862,205,67,0,984,1855,0,0,79677,13,0,0,0,0,0,0,0,0,0,0,0
180000,100,17,141,254,90,17,3.495,7,17,3.623,984,10,0,2248,94289,232,73,0,1127,2141,0,0,90678,13,0,0,0,0,0,0,0,0,0,0,0
200000,78,26,141,267,90,22,3.339,7,17,3.551,1089,10,0,2502,105498,263,85,0,1253,2380,0,0,101507,13,0,0,0,0,0,0,0,0,0,0,0
220000,87,23,107,295,97,18,3.322,8,21,3.612,1192,11,1,2764,117033,301,94,0,1383,2614,0,0,112692,13,0,0,0,0,0,0,0,0,0,0,0
240000,112,23,116,261,94,20,3.123,7,19,3.503,1304,12,0,3002,128394,326,102,0,1517,2878,0,0,123687,15,0,0,0,0,0,0,0,0,0,0,0
260000,104,18,126,264,93,17,3.436,7,18,3.553,1410,13,1,3252,139921,349,112,0,1645,3104,0,0,134855,15,0,0,0,0,0,0,0,0,0,0,0
280000,84,20,119,289,106,19,3.104,8,20,3.442,1521,14,0,3509,152435,385,124,0,1774,3351,0,0,146984,15,0,0,0,0,0,0,0,0,0,0,0
300000,91,19,116,286,97,19,3.147,7,22,3.747,1644,15,0,3785,164617,413,133,0,1928,3601,0,0,158776,16,0,0,0,0,0,0,0,0,0,0,0
320000,87,21,121,283,95,19,3.395,7,21,3.802,1746,15,0,4025,175277,442,142,0,2049,3821,0,0,169097,16,0,0,0,0,0,0,0,0,0,0,0
340000,103,14,136,259,95,14,3.422,7,20,3.875,1852,16,1,4280,187001,471,153,0,2176,4101,0,0,180443,17,0,0,0,0,0,0,0,0,0,0,0
