t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,689,12,1,98,11,7,4.556,12,3,1.347,12,3,291,58,361,0,0,0,0,290
10000,582,22,3,193,32,13,3.867,12,3,1.103,39,5,284,153,1094,0,0,0,0,916
15000,398,37,6,359,71,25,3.208,12,3,0.85,90,6,289,319,2695,0,0,0,0,2333
20000,229,50,6,515,113,35,3.068,12,3,0.778,142,7,281,475,4660,0,0,0,0,4129
25000,143,46,0,611,146,26,3.128,12,3,0.822,166,7,292,571,6301,0,0,0,0,5684
30000,104,41,0,655,159,25,3.109,12,3,0.804,178,7,297,615,7534,0,0,0,0,6878
35000,72,40,0,688,169,26,3.169,12,3,0.825,189,8,298,648,8518,0,0,0,0,7830
40000,60,37,0,703,176,23,3.196,12,3,0.831,193,8,300,663,9352,0,0,0,0,8652
45000,37,39,0,724,179,24,3.172,12,3,0.819,197,8,296,684,10095,0,0,0,0,9372
50000,32,34,0,734,183,22,3.18,12,3,0.83,199,8,300,694,10512,0,0,0,0,9784
55000,23,35,0,742,184,23,3.169,12,3,0.825,201,8,299,702,10883,0,0,0,0,10146
60000,18,35,0,747,187,22,3.158,12,3,0.819,203,8,300,707,11142,0,0,0,0,10400
65000,15,34,0,751,188,22,3.2,12,3,0.832,204,8,300,711,11332,0,0,0,0,10587
70000,16,33,0,751,190,20,3.2,12,3,0.832,204,8,300,711,11516,0,0,0,0,10772
75000,14,32,0,754,191,20,3.194,12,3,0.83,205,8,300,714,11694,0,0,0,0,10948
80000,9,35,0,756,189,22,3.194,12,3,0.83,205,8,298,716,11867,0,0,0,0,11116
85000,8,35,0,757,189,22,3.194,12,3,0.83,205,8,299,717,12002,0,0,0,0,11250
90000,7,29,0,764,193,19,3.208,12,3,0.842,206,8,300,724,12128,0,0,0,0,11375
95000,6,29,0,765,193,19,3.208,12,3,0.842,206,8,300,725,12198,0,0,0,0,11444
100000,4,29,0,767,193,19,3.208,12,3,0.842,206,8,300,727,12236,0,0,0,0,11480
