t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,240,33,2,525,156,30,2.672,7,17,2.629,233,10,265,624,7135,98,26,0,53,67,6530,18,0,0,0,0,0,0,0,0,0,0,0
20000,132,44,2,622,162,36,2.874,7,21,3.028,349,11,283,989,14834,210,44,0,168,217,13870,20,0,0,0,0,0,0,0,0,0,0,0
30000,136,35,3,626,164,29,3.016,7,24,3.391,447,11,293,1304,21598,288,54,0,290,404,20334,20,0,0,0,0,0,0,0,0,0,0,0
40000,147,38,4,610,145,35,3.194,7,26,3.587,540,14,286,1597,28754,370,69,0,411,589,27207,22,0,0,0,0,0,0,0,0,0,0,0
50000,113,35,2,649,153,29,3.407,8,29,3.844,627,14,289,1921,35366,463,86,0,513,765,33514,23,0,0,0,0,0,0,0,0,0,0,0
60000,138,39,3,620,122,38,3.462,7,31,4.077,697,14,293,2207,41662,541,105,0,623,971,39537,24,0,0,0,0,0,0,0,0,0,0,0
70000,147,50,3,600,117,40,3.58,7,35,4.273,779,14,285,2499,47770,628,123,0,729,1178,45359,26,0,0,0,0,0,0,0,0,0,0,0
80000,87,36,5,672,140,33,3.601,7,31,4.297,870,14,294,2844,54104,714,136,0,829,1349,51369,27,0,0,0,0,0,0,0,0,0,0,0
90000,114,44,5,637,127,39,3.566,8,36,4.45,937,14,289,3094,59846,775,158,0,923,1538,56872,27,0,0,0,0,0,0,0,0,0,0,0
100000,114,46,2,638,121,39,3.65,8,35,4.505,1005,15,283,3377,66004,846,179,0,1017,1727,62768,27,0,0,0,0,0,0,0,0,0,0,0
110000,140,43,5,612,119,37,3.603,8,34,4.431,1092,15,271,3703,71874,919,196,0,1147,1943,68328,29,0,0,0,0,0,0,0,0,0,0,0
120000,126,40,0,634,121,36,3.707,8,35,4.517,1177,15,291,4048,77968,984,207,0,1258,2154,74097,30,0,0,0,0,0,0,0,0,0,0,0
130000,145,33,4,618,125,29,3.753,8,36,4.532,1258,17,277,4370,83725,1053,222,0,1370,2376,79551,31,0,0,0,0,0,0,0,0,0,0,0
140000,126,51,2,621,99,41,3.929,8,41,4.7,1320,17,291,4657,90167,1138,235,0,1461,2566,85706,33,0,0,0,0,0,0,0,0,0,0,0
150000,128,56,2,614,98,42,3.971,8,41,4.803,1404,17,284,5015,96318,1227,251,0,1582,2807,91512,36,0,0,0,0,0,0,0,0,0,0,0
