t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,410,24,10,356,116,22,2.543,6,15,2.799,143,8,270,380,6215,76,30,0,0,5848,11,39,0,0,0,0,0,0,0,0,0,0
20000,197,23,4,576,202,23,2.529,6,17,2.847,296,11,287,803,18356,248,65,0,0,17603,13,189,0,0,0,0,0,0,0,0,0,0
30000,175,15,0,610,246,15,2.326,5,12,2.391,395,11,296,1039,28904,365,83,0,0,27942,13,344,0,0,0,0,0,0,0,0,0,0
40000,182,13,2,603,247,13,2.308,4,12,2.3,506,11,284,1314,40244,515,120,0,0,39044,15,524,0,0,0,0,0,0,0,0,0,0
50000,177,13,0,610,253,13,2.267,4,14,2.239,617,11,286,1571,50893,631,147,0,0,49466,18,687,0,0,0,0,0,0,0,0,0,0
60000,195,16,1,588,247,15,2.24,4,15,2.182,724,11,289,1821,62171,766,181,0,0,60521,18,861,0,0,0,0,0,0,0,0,0,0
70000,149,18,0,633,260,17,2.264,5,13,2.292,834,12,285,2086,72901,906,222,0,0,71023,19,1002,0,0,0,0,0,0,0,0,0,0
80000,170,12,0,618,261,12,2.249,4,14,2.331,930,13,281,2308,83544,1029,251,0,0,81477,20,1155,0,0,0,0,0,0,0,0,0,0
90000,203,17,1,579,240,17,2.237,4,12,2.272,1037,14,286,2551,94901,1150,289,0,0,92623,23,1330,0,0,0,0,0,0,0,0,0,0
100000,179,16,6,599,249,16,2.268,4,15,2.381,1163,14,281,2831,106781,1280,325,0,0,104247,24,1491,0,0,0,0,0,0,0,0,0,0
