t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,635,36,11,118,28,34,2.081,3,6,1.843,71,5,271,134,163,5,4,0,11,0,11,0,0
10000,254,129,16,401,76,125,2.06,3,7,1.786,284,8,248,568,713,18,16,0,95,0,16,0,0
15000,114,176,7,503,77,169,2.065,3,7,1.778,474,10,260,947,1190,27,22,0,240,0,16,0,0
20000,115,163,14,508,91,158,2.088,4,8,1.809,629,12,253,1248,1560,38,26,0,398,0,16,0,0
25000,121,168,9,502,85,157,2.091,4,8,1.887,780,12,266,1556,1954,50,31,0,563,0,16,0,0
30000,103,189,9,499,62,177,2.109,4,9,1.987,937,13,273,1867,2372,57,35,0,729,0,16,0,0
35000,108,181,14,497,72,167,2.117,4,7,1.984,1084,14,280,2161,2741,63,42,0,888,0,16,0,0
40000,102,185,6,507,74,167,2.095,4,8,1.888,1241,14,269,2481,3133,70,50,0,1055,0,16,0,0
45000,120,181,11,488,69,164,2.12,4,9,2.031,1391,14,270,2783,3508,74,57,0,1221,0,16,0,0
50000,113,174,5,508,79,160,2.109,4,10,2.052,1560,15,266,3132,3925,81,67,0,1400,0,16,0,0
55000,82,178,12,528,92,161,2.115,4,10,2.054,1708,16,268,3421,4296,88,74,0,1546,0,16,0,0
60000,102,192,5,501,61,169,2.152,4,10,2.174,1828,18,270,3680,4629,90,86,0,1697,0,16,0,0
65000,98,183,10,509,73,165,2.147,4,11,2.13,1981,18,278,3981,4995,99,92,0,1854,0,16,0,0
70000,117,170,13,500,79,151,2.213,5,12,2.328,2117,18,264,4267,5347,111,96,0,2011,0,17,0,0
75000,81,194,2,523,71,168,2.167,4,12,2.205,2239,19,277,4529,5675,114,100,0,2144,0,17,0,0
80000,94,190,5,511,69,166,2.179,4,11,2.171,2364,19,279,4790,6004,117,100,0,2288,0,17,0,0
85000,106,189,6,499,65,163,2.18,4,11,2.192,2497,21,274,5068,6349,125,103,0,2441,0,17,0,0
90000,117,182,13,488,61,161,2.216,4,12,2.258,2626,22,279,5334,6674,130,111,0,2585,0,17,0,0
95000,96,190,2,512,69,166,2.162,3,9,2.116,2760,23,271,5621,7023,138,116,0,2729,0,17,0,0
100000,91,192,9,508,71,163,2.188,4,10,2.227,2889,23,280,5884,7356,144,124,0,2873,0,17,0,0
