t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,715,19,14,52,13,19,2.063,3,4,0.863,46,7,219,81,127,4,2,125,8,0,1,26,0,0,1,75,0,0,0,0,0,0
10000,606,40,62,92,37,40,2,2,3,1.118,190,9,37,263,489,12,2,181,49,0,2,105,0,0,4,74,1,0,0,0,0,0
15000,641,20,104,35,48,20,2.044,3,5,1.553,304,9,1,310,739,16,9,223,104,0,6,186,11,0,9,72,1,1,0,0,0,0
20000,734,5,52,9,25,5,2.033,3,4,1.438,343,9,0,311,817,16,12,251,147,0,9,241,11,0,11,63,4,1,0,0,0,0
25000,781,1,17,1,8,1,2,2,3,1.436,355,9,0,311,841,17,12,280,162,0,10,283,11,0,13,62,2,2,0,0,0,0
30000,794,0,6,0,3,0,2,2,2,0.918,355,9,0,311,841,17,12,313,165,0,15,309,11,0,20,50,5,2,0,0,0,0
35000,794,0,6,0,3,0,2,2,2,0.918,355,9,0,311,841,17,12,336,167,0,17,329,11,0,21,48,4,1,0,0,0,0
40000,794,0,6,0,3,0,2,2,2,0.918,355,9,0,311,841,17,12,367,170,0,22,352,11,0,26,38,3,13,0,0,0,0
45000,798,0,2,0,1,0,2,2,1,0,355,9,0,311,841,17,12,391,172,0,23,377,11,0,25,39,2,5,0,0,0,0
50000,798,0,2,0,1,0,2,2,1,0,355,9,0,311,841,17,12,409,173,0,25,388,11,0,28,34,3,5,0,0,0,0
55000,788,0,12,0,6,0,2,2,2,0.65,355,9,0,311,841,17,12,438,173,0,31,417,11,0,28,37,4,6,0,0,0,0
60000,792,0,8,0,4,0,2,2,2,1,355,9,0,311,841,17,12,465,179,0,36,445,11,0,30,29,5,4,0,0,0,0
65000,798,0,2,0,1,0,2,2,1,0,355,9,0,311,841,17,12,494,181,0,38,478,11,0,29,32,3,7,0,0,0,0
70000,796,0,4,0,2,0,2,2,1,0,355,9,0,311,841,17,12,514,183,0,42,495,11,0,28,35,4,5,0,0,0,0
75000,798,0,2,0,1,0,2,2,1,0,355,9,0,311,841,17,12,541,184,0,45,529,11,0,30,31,8,4,0,0,0,0
80000,796,0,4,0,2,0,2,2,1,0,355,9,0,311,841,17,12,564,185,0,49,549,11,0,32,27,6,5,0,0,0,0
85000,800,0,0,0,0,0,0,0,0,0,355,9,0,311,841,17,12,592,186,0,50,574,11,0,33,26,3,7,0,0,0,0
90000,798,0,2,0,1,0,2,2,1,0,355,9,0,311,841,17,12,622,188,0,53,599,11,0,33,26,3,4,0,0,0,0
95000,794,0,6,0,3,0,2,2,2,0.918,355,9,0,311,841,17,12,645,189,0,56,622,11,0,33,25,1,9,0,0,0,0
100000,796,0,4,0,2,0,2,2,2,1,355,9,0,311,841,17,12,676,194,0,62,648,11,0,36,21,8,9,0,0,0,0
