arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound
baseline,1,10000,3,0,0,0,4133,3600,1517,2610,0,0,2610,0,2794,2627,0,2610
reset1000,1,10000,3,0,0,10,4045,3600,1581,16,0,3,12,7,3240,1555,1293,7
