t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,696,22,7,75,9,12,3.333,6,6,1.868,23,5,292,71,106,0,0,0,15,0
10000,552,66,7,175,15,44,2.763,6,8,1.781,121,9,269,303,429,0,0,0,104,0
15000,391,111,16,282,25,85,2.509,6,11,2.022,280,12,248,658,917,0,0,0,266,0
20000,307,138,18,337,34,104,2.464,6,10,1.918,482,15,249,1100,1511,0,0,0,506,0
25000,270,159,16,355,35,118,2.327,6,9,1.724,687,16,253,1510,2074,0,0,0,745,0
30000,312,141,15,332,31,110,2.376,6,9,1.835,907,17,263,1963,2648,0,0,0,1025,0
35000,329,137,10,324,36,101,2.358,6,9,1.926,1119,19,253,2392,3225,0,0,0,1286,0
40000,265,151,15,369,49,119,2.232,4,8,1.463,1379,20,241,2905,3910,0,0,0,1570,0
45000,323,128,15,334,48,108,2.212,5,8,1.471,1620,21,254,3391,4540,0,0,0,1869,0
50000,317,120,30,333,63,103,2.151,5,8,1.173,1904,24,245,3930,5242,0,0,0,2179,0
55000,321,129,20,330,44,115,2.145,5,7,1.141,2191,26,240,4483,5985,0,0,0,2493,0
60000,323,128,22,327,46,115,2.124,4,7,1.195,2460,27,253,4999,6681,0,0,0,2787,0
65000,313,126,22,339,55,113,2.113,5,6,1.091,2759,27,234,5555,7453,0,0,0,3106,0
70000,346,118,18,318,52,109,2.075,4,6,1.015,3050,27,236,6101,8186,0,0,0,3429,0
75000,341,122,18,319,47,114,2.081,4,6,0.844,3367,28,241,6677,9002,0,0,0,3760,0
80000,343,113,21,323,59,106,2.061,3,5,0.698,3674,31,243,7246,9781,0,0,0,4084,0
85000,319,120,25,336,63,114,2.034,3,4,0.263,4013,33,250,7872,10627,0,0,0,4424,0
90000,361,108,23,308,57,105,2.031,4,5,0.295,4358,35,221,8508,11487,0,0,0,4793,0
95000,385,111,17,287,39,107,2.075,4,5,0.543,4643,35,241,9054,12229,0,0,0,5100,0
100000,370,115,17,298,43,109,2.059,4,5,0.471,4950,38,246,9617,13001,0,0,0,5413,0
