t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,787,3,0,10,0,2,5,5,1,0,1,1,298,5,8,0,0,0,1,0,0,0,0,0
10000,780,5,0,15,0,5,2.8,4,2,0.971,4,2,297,15,21,1,0,0,4,0,0,2,0,0
15000,748,14,1,37,3,13,2.25,5,4,1.531,18,4,293,47,68,3,1,2,11,0,0,5,0,0
20000,627,49,6,118,11,45,2.179,4,7,2.26,89,8,283,187,269,9,5,6,33,0,0,18,0,0
25000,424,101,18,257,32,94,2.143,3,8,2.131,267,12,257,535,763,22,16,11,93,0,0,86,0,0
30000,256,139,18,387,60,122,2.176,5,12,2.191,540,17,246,1076,1496,34,29,28,192,0,0,227,0,0
35000,203,158,12,427,58,137,2.195,5,13,2.204,793,19,234,1610,2198,40,52,38,319,0,0,383,0,0
40000,252,162,14,372,30,139,2.231,5,13,2.301,1035,23,263,2079,2860,47,60,60,446,0,0,567,0,0
45000,194,161,17,428,51,140,2.251,5,11,2.284,1287,23,244,2601,3559,52,77,76,553,0,0,739,0,0
50000,221,166,19,394,41,139,2.228,6,14,2.26,1523,23,264,3084,4226,62,91,94,672,0,0,926,0,0
55000,243,156,16,385,42,134,2.25,6,15,2.35,1753,26,251,3545,4864,75,100,108,778,0,0,1099,0,0
60000,234,162,11,393,36,137,2.266,7,15,2.3,1976,27,253,4014,5489,86,106,127,882,0,0,1256,0,0
65000,204,174,21,401,38,145,2.257,7,16,2.238,2192,29,254,4448,6100,91,120,150,994,0,0,1399,0,0
70000,251,162,10,377,28,134,2.309,5,17,2.472,2418,33,259,4915,6740,95,126,166,1112,0,0,1570,0,0
75000,227,169,10,394,37,136,2.277,5,14,2.262,2624,34,253,5327,7309,103,134,180,1223,0,0,1694,0,0
80000,268,158,16,358,36,122,2.316,5,15,2.462,2840,34,251,5740,7894,116,139,194,1314,0,0,1859,0,1
85000,210,173,11,406,35,139,2.322,5,16,2.409,3053,35,249,6178,8486,129,144,208,1406,0,0,1989,0,0
90000,249,150,17,384,42,121,2.374,5,16,2.435,3255,37,254,6588,9038,141,151,232,1520,0,0,2132,0,1
95000,215,161,19,405,40,129,2.391,6,15,2.574,3471,40,263,7044,9669,150,161,252,1637,0,0,2275,0,0
100000,235,173,7,385,22,130,2.441,6,14,2.554,3628,43,260,7398,10162,157,166,273,1727,0,0,2410,0,0
