t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,735,14,3,48,9,14,2.087,3,3,0.84,31,5,281,70,90,2,1,132,8,0,2,20,0,0,1,78,0,0,0,0,0,0
10000,596,47,9,148,32,46,2.013,3,4,0.945,146,7,262,296,388,9,4,182,39,0,4,67,0,0,5,79,1,1,0,0,0,0
15000,353,113,21,313,52,113,2.018,3,6,0.91,436,11,232,846,1151,24,12,237,126,0,6,210,0,0,10,67,0,2,0,0,0,0
20000,315,114,26,345,68,114,2.022,3,5,1.061,758,13,238,1454,1976,47,17,262,248,0,7,420,0,0,13,60,4,0,0,0,0,0
25000,308,112,22,358,78,111,2.005,3,4,0.889,1085,16,224,2071,2818,59,23,292,404,0,8,604,0,0,18,52,4,8,2,0,0,1
30000,253,126,20,401,84,125,2.01,3,4,0.914,1411,16,230,2701,3672,69,31,315,513,0,8,830,0,0,18,51,2,3,0,0,0,0
35000,223,137,29,411,82,135,2.023,3,7,0.938,1730,19,240,3305,4499,81,43,345,634,0,9,1046,0,0,23,47,4,3,2,0,0,1
40000,295,123,15,367,68,122,2.011,3,5,0.89,2022,21,237,3887,5270,91,51,376,781,0,10,1251,0,0,26,38,3,2,0,0,0,0
45000,270,137,19,374,60,136,2.005,3,4,1.081,2351,23,237,4510,6137,111,57,396,904,0,10,1486,0,0,28,37,3,3,0,0,0,0
50000,277,140,17,366,51,138,2.021,3,6,1.281,2663,24,235,5101,6938,130,71,415,1038,0,10,1699,0,0,29,35,7,3,2,0,0,1
55000,293,124,22,361,66,124,2.016,3,6,1.23,3002,27,248,5733,7785,145,78,443,1192,0,11,1926,0,0,31,23,1,11,0,0,0,0
60000,288,120,19,373,76,120,2,2,3,0.911,3354,30,245,6398,8689,163,81,472,1334,0,12,2156,0,0,29,30,3,7,0,0,0,0
65000,286,125,18,371,69,125,2.005,3,4,0.982,3695,31,241,7056,9560,180,86,503,1473,0,13,2389,0,0,29,31,2,4,0,0,0,0
70000,289,119,22,370,76,119,2.01,3,4,0.935,4019,35,235,7668,10407,194,91,535,1609,0,14,2607,0,0,31,30,1,8,0,0,0,0
75000,269,134,16,381,65,133,2.005,3,4,0.732,4355,37,243,8300,11282,208,95,557,1759,0,14,2820,0,0,31,31,5,2,2,0,0,1
80000,286,119,26,369,77,119,2.015,3,4,0.863,4677,39,224,8909,12109,218,101,578,1892,0,14,3039,0,0,32,32,2,7,0,0,0,0
85000,251,140,9,400,63,140,2.01,3,4,1.042,5001,41,232,9528,12969,225,106,598,2022,0,14,3248,0,0,31,32,1,14,0,0,0,0
90000,312,116,26,346,69,115,2.016,3,7,1.146,5319,42,236,10123,13792,236,111,619,2153,0,14,3487,0,0,32,30,3,6,1,0,0,0
95000,260,128,20,392,77,128,2.005,3,4,0.832,5667,44,229,10793,14687,248,116,643,2318,0,14,3682,0,0,33,28,3,9,0,0,0,0
