arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound,productLateralEvents,productDockEvents,productBindEvents,boundBendDeg,boundShapeSamples,freeBendDeg,freeShapeSamples
softFree15,6,30000,10,0,12,5,6483,2070,2868,4108,473,148,4615,114,6651,6556,0,3346,17,478,1174,970.9773614296053,4729,27304.75018379625,1827
softFree15NoBind,6,30000,3,3,4,7,2385,3299,1629,0,0,0,0,0,5370,5218,3,0,34,493,0,0,0,78318.20608600353,5218
soft0,6,40000,12,1,11,4,9275,1392,3042,5667,128,169,5854,110,9566,9242,0,5381,28,603,1204,865.2106536167455,5964,600.237842319085,3278
softSide5,6,40000,16,2,13,12,13680,1245,3682,7469,6,429,7799,105,12348,11988,0,7134,37,974,1523,38419.78202982596,7904,20350.1320508869,4084
softFree15,6,40000,10,1,8,7,8978,863,2980,5389,156,360,5682,223,8742,8517,0,4198,36,510,1704,1049.4229098478324,5905,39023.95603518171,2612
softFree15NoBind,6,40000,4,1,4,8,3693,2787,1097,0,0,0,0,0,5350,5118,0,0,33,758,0,0,0,76856.07720729166,5118
soft0,6,50000,17,1,14,9,12653,1308,4011,6625,420,758,7485,318,11965,11474,0,6619,40,964,2982,1144.990072868141,7803,656.1236823932519,3671
softFree15NoBind,6,50000,2,0,8,6,3155,1686,1260,0,0,0,0,0,5301,5091,0,0,27,659,0,0,0,76340.71594597353,5091
softFree15,6,50000,14,0,12,7,11928,0,2954,7188,0,218,7113,293,11803,11517,0,5962,36,714,2414,1421.8513633958385,7406,61259.52021402257,4111
softSide5,6,50000,19,0,20,8,13971,996,3650,7860,169,745,8448,326,14601,14045,0,7047,35,818,2867,42635.76173939226,8774,26316.36370591871,5271
