t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,274,31,82,413,114,27,3.213,7,16,3.047,177,7,89,485,8124,107,31,0,51,76,7559,23,0,273,0,0,0,0,0,0,0,30,0
20000,98,37,10,655,138,28,3.735,8,29,4.087,290,8,214,994,18170,223,63,0,156,255,17174,24,0,863,0,0,0,0,0,0,0,59,0
30000,92,32,10,666,136,25,3.888,8,32,4.352,361,8,225,1304,26517,326,83,0,247,462,25235,27,0,1163,0,0,0,0,0,0,0,61,0
40000,115,44,17,624,108,37,4.062,9,41,4.742,428,9,213,1606,34886,426,102,0,351,702,33294,28,0,1432,0,0,0,0,0,0,0,55,0
50000,116,40,20,624,110,31,4.156,8,43,4.748,502,11,211,1933,43502,520,122,0,444,937,41600,29,0,1741,0,0,0,0,0,0,0,63,0
60000,89,39,11,661,115,32,4.156,8,45,4.914,578,11,217,2285,51810,647,139,0,542,1157,49586,32,0,2075,0,0,0,0,0,0,0,70,0
70000,88,39,8,665,118,34,4.092,8,44,4.884,645,12,229,2570,58901,739,156,0,628,1355,56412,34,0,2353,0,0,0,0,0,0,0,68,0
80000,81,37,15,667,126,32,3.975,9,40,4.828,704,12,220,2828,65907,830,176,0,702,1538,63171,34,0,2583,0,0,0,0,0,0,0,70,0
90000,94,42,9,655,115,38,3.928,9,42,4.84,767,13,227,3112,74282,933,199,0,791,1748,71274,34,0,2858,0,0,0,0,0,0,0,70,0
100000,100,35,10,655,129,30,3.981,8,45,4.915,849,14,224,3418,82385,1022,214,0,889,1954,79092,35,0,3145,0,0,0,0,0,0,0,73,0
110000,143,34,10,612,113,28,4.035,7,41,4.826,916,14,217,3717,91350,1140,232,0,992,2196,87776,37,0,3423,0,0,0,0,0,0,0,70,0
120000,109,33,7,651,115,31,4.082,8,42,4.907,998,14,216,4068,100269,1247,257,0,1083,2429,96364,39,0,3755,0,0,0,0,0,0,0,71,0
130000,88,48,13,651,106,42,4.108,8,44,4.98,1071,15,219,4380,109223,1354,275,0,1182,2649,104996,40,0,4052,0,0,0,0,0,0,0,75,0
140000,101,35,6,658,118,30,4.095,9,47,4.887,1144,15,220,4682,118062,1463,288,0,1268,2860,113567,43,0,4341,0,0,0,0,0,0,0,83,0
150000,104,33,16,647,121,28,4.087,9,47,4.86,1226,16,208,5019,127258,1581,313,0,1367,3111,122443,45,0,4654,0,0,0,0,0,0,0,83,0
