t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,614,9,5,172,37,8,3.622,8,17,3.603,59,4,286,210,3659,50,14,0,19,38,3491,22,0,0,0,0,0,0,0,0,0,0,0
20000,351,22,2,425,74,18,4.261,9,30,4.444,140,5,279,583,14123,168,40,0,56,120,13613,31,0,0,0,0,0,0,0,0,0,0,0
30000,239,26,0,535,76,24,4.86,9,38,4.782,194,5,282,886,25073,297,66,0,113,256,24294,36,0,0,0,0,0,0,0,0,0,0,0
40000,219,34,3,544,74,30,4.875,9,43,4.923,245,7,278,1165,35239,416,84,0,185,451,34186,37,0,0,0,0,0,0,0,0,0,0,0
50000,234,29,1,536,77,23,4.83,10,44,4.962,296,7,291,1444,45123,540,103,0,264,657,43819,40,0,0,0,0,0,0,0,0,0,0,0
60000,262,19,1,518,80,14,5.106,10,44,5.148,338,9,286,1661,55202,643,124,0,320,839,53711,43,0,0,0,0,0,0,0,0,0,0,0
70000,273,32,1,494,59,26,5.306,10,44,5.239,379,9,291,1899,64791,745,144,0,385,1036,63071,45,0,0,0,0,0,0,0,0,0,0,0
80000,221,20,0,559,86,18,5,10,43,5.052,434,9,279,2187,73806,869,162,0,439,1206,71833,48,0,0,0,0,0,0,0,0,0,0,0
90000,221,18,1,560,90,17,5.037,10,48,5.167,489,10,284,2447,84574,997,175,0,509,1395,82365,53,0,0,0,0,0,0,0,0,0,0,0
100000,241,29,2,528,65,26,5.066,9,44,5.24,528,11,293,2678,94356,1100,187,0,578,1589,91920,56,0,0,0,0,0,0,0,0,0,0,0
110000,257,27,1,515,66,24,5.122,10,46,5.271,574,11,290,2891,103978,1222,195,0,638,1758,101345,60,0,0,0,0,0,0,0,0,0,0,0
120000,229,28,4,539,65,25,5.322,11,49,5.375,617,11,286,3138,112982,1342,217,0,696,1923,110124,64,0,0,0,0,0,0,0,0,0,0,0
130000,254,22,1,523,67,17,5.5,11,49,5.377,659,12,285,3388,121898,1466,236,0,763,2121,118820,66,0,0,0,0,0,0,0,0,0,0,0
140000,209,36,1,554,57,29,5.593,12,46,5.315,699,12,289,3633,131195,1581,256,0,816,2282,127877,67,0,0,0,0,0,0,0,0,0,0,0
150000,196,30,3,571,70,24,5.362,13,52,5.404,738,12,287,3877,140094,1694,276,0,870,2454,136557,69,0,0,0,0,0,0,0,0,0,0,0
