t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,508,74,12,206,24,62,2.372,6,2,0.446,80,7,268,182,268,0,0,0,0,0
10000,85,172,0,543,76,162,2.185,6,2,0.27,232,8,278,519,691,0,0,0,0,0
15000,4,184,0,612,98,174,2.176,6,2,0.261,266,9,300,588,772,0,0,0,0,0
20000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
25000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
30000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
35000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
40000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
45000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
50000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
55000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
60000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
65000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
70000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
75000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
80000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
85000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
90000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
95000,0,184,0,616,100,174,2.175,6,2,0.259,268,9,300,592,776,0,0,0,0,0
100000,0,182,0,618,103,172,2.175,6,2,0.259,269,9,300,594,776,0,0,0,0,0
