t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,388,4,0,8,0,3,2.667,4,2,0.918,1,1,300,2,6,0,0,0,0,0,0,1,0
10000,367,10,2,21,1,9,2.2,4,2,0.469,10,3,300,19,32,0,1,0,2,0,0,1,0
15000,361,11,2,26,1,11,2.25,3,4,1.208,25,7,296,53,77,1,3,2,12,0,0,11,0
20000,354,10,2,34,5,10,2.333,3,5,1.738,38,7,297,83,116,3,3,3,13,0,0,23,0
25000,333,20,1,46,4,19,2.043,3,2,0.258,66,9,293,137,196,3,3,3,24,0,0,37,0
30000,319,21,2,58,8,21,2.069,3,3,0.717,100,9,291,205,287,9,5,3,35,0,0,57,0
35000,338,16,0,46,6,16,2.091,3,2,0.439,133,11,294,272,380,12,8,3,52,0,0,83,0
40000,314,28,0,58,2,26,2.071,3,2,0.371,165,12,299,335,474,12,10,3,68,0,0,95,0
45000,331,22,0,47,1,21,2.091,3,2,0.439,197,13,296,398,559,14,13,3,88,0,0,115,0
50000,325,18,1,56,10,18,2.036,3,3,0.443,227,14,296,456,630,17,15,3,98,0,0,132,0
55000,304,24,2,70,12,24,2,2,2,0.183,276,15,292,549,753,25,18,3,121,0,0,153,0
60000,289,34,0,77,4,33,2.081,3,5,0.71,318,17,294,636,866,31,25,3,141,0,0,177,0
65000,318,25,0,57,3,25,2.036,3,3,0.443,356,19,294,709,959,33,28,4,164,0,0,204,0
70000,318,24,2,56,5,24,2,2,1,0,388,19,296,769,1040,36,29,5,179,0,0,222,0
75000,294,31,3,72,6,30,2.083,3,2,0.414,422,20,293,839,1132,40,32,5,190,0,0,237,0
80000,312,28,1,59,2,28,2,2,2,0.353,465,20,296,926,1248,44,33,5,213,0,0,267,0
85000,322,18,0,60,12,18,2,2,2,0.211,499,21,291,995,1331,46,36,5,229,0,0,286,0
90000,300,22,4,74,17,22,2,2,1,0,537,23,293,1065,1427,48,37,5,247,0,0,298,0
95000,315,26,1,58,3,26,2.034,3,3,0.575,580,26,296,1155,1553,55,38,5,272,0,0,326,0
100000,339,15,3,43,8,15,2,2,2,0.755,616,27,292,1226,1645,61,40,5,287,0,0,355,0
