t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,789,2,1,8,0,1,6,6,1,0,0,0,300,5,9,0,0,2,2,0,0,1,0,0
10000,787,4,0,9,0,1,6,6,1,0,0,0,300,6,11,0,0,2,2,0,0,1,0,0
15000,783,5,0,12,0,2,5.5,6,2,1,1,1,300,12,18,0,0,3,3,0,0,3,0,0
20000,766,11,0,23,0,5,3.4,5,5,2.322,4,3,298,28,40,2,2,4,5,0,0,7,0,0
25000,746,16,0,38,2,8,3.3,7,6,2.371,14,5,298,62,84,3,4,9,12,0,0,15,0,0
30000,657,38,6,99,11,24,2.657,8,10,2.469,52,6,278,154,222,6,7,15,22,0,0,35,0,0
35000,413,95,14,278,40,85,2.24,9,12,1.988,245,9,260,539,757,9,12,26,74,0,0,119,0,0
40000,308,137,18,337,36,115,2.305,6,15,2.373,479,13,258,1012,1408,16,26,41,181,0,0,251,0,1
45000,190,173,9,428,40,149,2.228,6,13,2.193,731,16,252,1527,2103,26,38,57,284,0,0,408,0,0
50000,169,181,10,440,45,150,2.251,6,14,2.27,939,18,255,1954,2684,36,42,66,383,0,0,548,0,0
55000,223,176,9,392,25,144,2.29,9,14,2.251,1134,20,262,2372,3246,44,55,88,511,0,0,692,0,0
60000,208,169,22,401,41,137,2.298,8,13,2.151,1327,21,265,2752,3765,46,63,98,600,0,0,818,0,0
65000,245,168,5,382,26,140,2.283,8,12,2.11,1496,24,266,3106,4239,51,65,108,692,0,0,946,0,0
70000,224,165,9,402,38,138,2.267,8,13,2.047,1689,26,257,3494,4767,60,74,126,791,0,0,1071,0,0
75000,178,186,9,427,29,153,2.286,9,13,2.16,1886,26,267,3911,5338,71,83,146,895,0,0,1206,0,0
80000,236,160,13,391,36,134,2.341,9,12,2.161,2094,27,263,4316,5890,80,90,165,1014,0,0,1345,0,0
85000,207,183,9,401,26,137,2.417,9,14,2.345,2260,28,260,4681,6397,88,100,179,1106,0,0,1453,0,0
90000,238,166,11,385,35,123,2.392,9,14,2.282,2423,29,250,5026,6862,92,108,189,1198,0,0,1568,0,0
95000,230,169,9,392,34,130,2.36,7,13,2.342,2589,31,254,5390,7359,100,116,208,1290,0,0,1696,0,0
100000,224,168,9,399,41,128,2.325,7,14,2.183,2781,32,262,5784,7886,107,124,221,1387,0,0,1828,0,0
