t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,759,5,1,35,3,4,4.286,6,2,0.985,1,1,298,11,313,0,0,0,0,296
10000,740,3,2,55,8,3,4.545,6,2,0.946,5,1,298,31,756,0,0,0,0,720
15000,722,3,1,74,12,3,4.667,6,2,0.918,9,2,297,50,1344,0,0,0,0,1290
20000,692,7,1,100,13,6,4.737,6,2,0.9,13,3,296,76,2162,0,0,0,0,2078
25000,624,14,0,162,18,11,4.897,6,2,0.85,23,3,297,138,3223,0,0,0,0,3071
30000,545,16,5,234,31,13,4.727,6,2,0.902,38,4,291,210,4625,0,0,0,0,4394
35000,474,11,1,314,49,11,5,6,2,0.811,54,5,292,290,6618,0,0,0,0,6316
40000,373,25,1,401,54,21,4.987,6,2,0.817,69,5,291,377,8854,0,0,0,0,8451
45000,292,26,3,479,63,23,5.116,6,2,0.762,80,5,291,455,11005,0,0,0,0,10521
50000,239,25,2,534,72,23,5.158,6,2,0.742,89,6,294,510,13083,0,0,0,0,12546
55000,185,23,1,591,82,22,5.192,6,2,0.726,98,6,294,567,14969,0,0,0,0,14378
60000,142,31,0,627,86,26,5.214,6,2,0.715,106,6,296,603,16606,0,0,0,0,15972
65000,120,21,1,658,99,20,5.261,6,2,0.691,113,6,295,634,18275,0,0,0,0,17619
70000,98,21,1,680,101,20,5.24,6,2,0.702,115,6,298,656,19600,0,0,0,0,18922
75000,78,24,1,697,99,23,5.246,6,2,0.698,116,6,299,673,20650,0,0,0,0,19952
80000,61,22,1,716,106,21,5.276,6,2,0.682,121,6,298,692,21608,0,0,0,0,20893
85000,48,22,0,730,107,21,5.281,6,2,0.679,122,6,299,706,22332,0,0,0,0,21604
90000,44,19,0,737,110,19,5.287,6,2,0.676,123,6,299,713,22979,0,0,0,0,22247
95000,37,16,0,747,118,15,5.308,6,2,0.664,127,6,299,723,23598,0,0,0,0,22859
100000,30,19,0,751,115,18,5.308,6,2,0.664,127,6,299,727,24156,0,0,0,0,23410
