t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits
20000,186,0,1,13,7,0,2,2,2,0.863,18,5,40,39,1100,6,1,34,9,10,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,21
40000,184,0,4,12,8,0,2,2,2,0.954,37,6,40,67,1967,7,2,34,18,19,0,1887,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,31
60000,188,0,1,11,6,0,2,2,2,0.918,59,7,38,115,3122,9,3,34,25,26,0,3001,4,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,52
80000,193,1,0,6,2,1,2,2,2,0.918,67,8,40,130,3691,12,3,34,31,32,0,3553,4,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,57
100000,196,0,0,4,2,0,2,2,1,0,70,8,40,135,3955,12,3,34,32,33,0,3812,4,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,60
120000,178,2,3,17,7,2,2.111,3,2,0.503,85,8,38,165,4730,15,4,34,35,36,0,4555,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,66
140000,167,1,1,31,12,1,2.385,4,6,2.316,108,10,39,221,6076,20,7,60,47,49,0,5845,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,87
160000,185,0,2,13,7,0,2.143,3,4,1.842,137,11,40,274,7596,23,7,60,68,79,0,7297,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,108
180000,183,2,1,14,5,2,2.143,3,3,1.149,154,11,38,316,8517,27,7,60,72,84,0,8173,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,129
200000,194,0,0,6,3,0,2,2,1,0,169,12,40,346,9407,32,7,60,78,91,0,9035,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,142
220000,198,0,0,2,1,0,2,2,1,0,177,15,40,361,9847,33,8,60,84,98,0,9459,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,146
240000,200,0,0,0,0,0,0,0,0,0,177,15,40,361,9879,33,8,60,85,99,0,9491,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,146
260000,198,0,0,2,1,0,2,2,1,0,181,15,40,369,9961,33,8,60,86,100,0,9569,9,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,148
280000,196,0,0,4,2,0,2,2,1,0,186,15,40,379,10177,33,8,60,86,100,0,9777,10,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,152
300000,200,0,0,0,0,0,0,0,0,0,186,15,40,379,10218,33,8,60,88,102,0,9818,10,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,152
320000,198,0,0,2,1,0,2,2,1,0,187,15,38,381,10221,33,8,60,88,102,0,9821,11,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,152
340000,198,0,0,2,1,0,2,2,1,0,192,15,40,390,10494,33,8,60,91,105,0,10086,12,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,154
360000,200,0,0,0,0,0,0,0,0,0,192,15,40,390,10536,34,8,60,91,105,0,10128,12,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,155
380000,200,0,0,0,0,0,0,0,0,0,192,15,40,390,10536,34,8,60,91,105,0,10128,12,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,155
400000,200,0,0,0,0,0,0,0,0,0,192,15,40,390,10536,34,8,60,91,105,0,10128,12,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,155
420000,200,0,0,0,0,0,0,0,0,0,193,15,40,392,10574,34,8,60,91,105,0,10166,13,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,156
440000,200,0,0,0,0,0,0,0,0,0,194,15,39,394,10583,34,8,60,91,105,0,10175,14,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,157
460000,200,0,0,0,0,0,0,0,0,0,194,15,40,394,10583,34,8,60,91,105,0,10175,14,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,157
480000,200,0,0,0,0,0,0,0,0,0,194,15,40,394,10583,34,8,60,91,105,0,10175,14,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,157
500000,200,0,0,0,0,0,0,0,0,0,194,15,40,394,10583,34,8,60,91,105,0,10175,14,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,157
520000,200,0,0,0,0,0,0,0,0,0,194,15,40,394,10583,34,8,60,91,105,0,10175,14,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,157
540000,200,0,0,0,0,0,0,0,0,0,194,15,40,394,10583,34,8,60,91,105,0,10175,14,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,157
560000,196,0,3,1,2,0,2,2,1,0,197,15,40,397,10625,34,8,60,91,105,0,10213,15,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,158
580000,194,0,2,4,3,0,2,2,1,0,204,15,38,410,10847,35,8,60,95,108,0,10422,16,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,160
600000,198,0,0,2,1,0,2,2,1,0,211,15,40,422,11119,37,8,60,99,112,0,10684,18,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,165
620000,200,0,0,0,0,0,0,0,0,0,216,15,40,427,11309,38,8,60,101,114,0,10866,19,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,169
640000,200,0,0,0,0,0,0,0,0,0,216,15,40,427,11309,38,8,60,101,114,0,10866,19,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,169
660000,192,0,1,7,4,0,2,2,1,0,222,15,39,435,11460,39,8,60,101,114,0,11009,21,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,171
680000,200,0,0,0,0,0,0,0,0,0,223,15,40,438,11581,39,8,60,101,114,0,11128,21,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,176
700000,200,0,0,0,0,0,0,0,0,0,223,15,40,438,11581,39,8,60,101,114,0,11128,21,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,176
