t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,10,207,2,581,65,183,2.21,7,11,1.727,314,10,247,719,923,17,18,0,79,52,0,9,0,0,0,0,0,0,0,0,0,0,0
20000,8,196,1,595,87,167,2.232,7,13,1.882,425,12,236,955,1194,23,22,0,191,110,0,9,0,0,0,0,0,0,0,0,0,0,0
30000,6,195,1,598,86,164,2.276,7,16,2.011,500,13,242,1126,1386,30,28,0,277,160,0,9,0,0,0,0,0,0,0,0,0,0,0
40000,8,196,1,595,80,168,2.274,7,17,1.978,601,14,232,1349,1650,35,30,0,391,223,0,9,0,0,0,0,0,0,0,0,0,0,0
50000,11,190,0,599,96,156,2.242,7,18,1.969,712,14,239,1591,1932,39,38,0,508,290,0,9,0,0,0,0,0,0,0,0,0,0,0
60000,8,204,2,586,81,167,2.234,7,17,1.909,808,15,235,1797,2184,46,44,0,618,357,0,9,0,0,0,0,0,0,0,0,0,0,0
70000,8,207,1,584,75,171,2.252,7,18,1.881,908,15,247,2017,2441,51,48,0,728,425,0,9,0,0,0,0,0,0,0,0,0,0,0
80000,10,215,1,574,67,171,2.261,7,17,1.806,998,15,243,2215,2690,58,49,0,833,480,0,9,0,0,0,0,0,0,0,0,0,0,0
90000,4,211,1,584,71,169,2.283,7,17,1.895,1072,15,240,2379,2873,62,53,0,910,524,0,9,0,0,0,0,0,0,0,0,0,0,0
100000,4,207,0,589,75,166,2.282,7,15,1.931,1177,15,244,2610,3140,67,60,0,1026,584,0,9,0,0,0,0,0,0,0,0,0,0,0
110000,10,204,0,586,79,158,2.278,7,17,2.026,1275,16,241,2826,3392,70,66,0,1138,650,0,9,0,0,0,0,0,0,0,0,0,0,0
120000,10,205,0,585,73,164,2.329,7,17,2.195,1379,16,242,3058,3673,76,69,0,1257,711,0,9,0,0,0,0,0,0,0,0,0,0,0
130000,12,214,2,572,65,164,2.341,7,17,2.211,1461,17,247,3236,3902,81,73,0,1355,762,0,9,0,0,0,0,0,0,0,0,0,0,0
140000,9,226,0,565,54,172,2.327,7,18,2.229,1547,17,244,3430,4147,89,76,0,1455,819,0,9,0,0,0,0,0,0,0,0,0,0,0
150000,9,205,4,582,73,160,2.322,7,18,2.23,1638,18,237,3641,4374,94,80,0,1548,881,0,9,0,0,0,0,0,0,0,0,0,0,0
