t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,752,12,2,34,6,11,2.118,3,3,0.834,19,5,263,37,51,1,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0
10000,618,42,27,113,28,42,2,2,3,0.952,128,8,87,213,326,4,1,0,26,0,4,40,0,0,0,0,0,0,0,0,0,0
15000,607,32,105,56,48,32,2,2,3,0.901,286,9,0,300,683,12,5,0,85,0,5,130,0,0,0,0,0,0,0,0,0,0
20000,725,5,56,14,30,5,2,2,3,1.195,334,9,0,300,772,12,8,0,132,0,6,179,0,0,0,0,0,0,0,0,0,0
25000,767,3,25,5,12,3,2,2,3,1.371,351,9,0,300,809,12,10,0,153,0,10,202,0,0,0,0,0,0,0,0,0,0
30000,781,0,19,0,9,0,2.111,3,3,0.986,357,9,0,300,821,12,11,0,159,0,14,212,0,0,0,0,0,0,0,0,0,0
35000,791,0,9,0,4,0,2.25,3,4,2,357,9,0,300,821,12,12,0,164,0,18,217,0,0,0,0,0,0,0,0,0,0
40000,794,0,6,0,3,0,2,2,2,0.918,357,9,0,300,821,12,12,0,165,0,19,219,0,0,0,0,0,0,0,0,0,0
45000,790,0,10,0,5,0,2,2,3,1.522,357,9,0,300,821,12,12,0,167,0,25,221,0,0,0,0,0,0,0,0,0,0
50000,796,0,4,0,2,0,2,2,2,1,357,9,0,300,821,12,12,0,168,0,28,226,0,0,0,0,0,0,0,0,0,0
55000,794,0,6,0,3,0,2,2,3,1.585,357,9,0,300,821,12,12,0,168,0,32,229,0,0,0,0,0,0,0,0,0,0
60000,798,0,2,0,1,0,2,2,1,0,357,9,0,300,821,12,12,0,171,0,35,231,0,0,0,0,0,0,0,0,0,0
65000,798,0,2,0,1,0,2,2,1,0,357,9,0,300,821,12,12,0,171,0,35,231,0,0,0,0,0,0,0,0,0,0
70000,800,0,0,0,0,0,0,0,0,0,357,9,0,300,821,12,12,0,173,0,37,232,0,0,0,0,0,0,0,0,0,0
75000,798,0,2,0,1,0,2,2,1,0,357,9,0,300,821,12,12,0,173,0,38,232,0,0,0,0,0,0,0,0,0,0
80000,796,0,4,0,2,0,2,2,1,0,357,9,0,300,821,12,12,0,176,0,42,232,0,0,0,0,0,0,0,0,0,0
85000,796,0,4,0,2,0,2,2,2,1,357,9,0,300,821,12,12,0,177,0,45,234,0,0,0,0,0,0,0,0,0,0
90000,796,0,4,0,2,0,2,2,2,1,357,9,0,300,821,12,12,0,180,0,49,235,0,0,0,0,0,0,0,0,0,0
95000,796,0,4,0,2,0,2,2,1,0,357,9,0,300,821,12,12,0,181,0,54,239,0,0,0,0,0,0,0,0,0,0
100000,796,0,4,0,2,0,2,2,2,1,357,9,0,300,821,12,12,0,181,0,56,241,0,0,0,0,0,0,0,0,0,0
