t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,697,16,6,81,14,12,3.077,6,2,0.84,20,3,286,57,427,0,0,0,0,348
10000,567,24,3,206,56,20,2.526,6,2,0.562,70,6,276,182,1569,0,0,0,0,1360
15000,379,33,4,384,123,32,2.387,6,2,0.459,149,8,281,360,3858,0,0,0,0,3461
20000,220,30,1,549,194,26,2.418,6,2,0.483,214,9,286,525,6292,0,0,0,0,5736
25000,139,39,1,621,215,34,2.434,6,2,0.495,243,9,296,597,8370,0,0,0,0,7733
30000,90,35,0,675,236,33,2.416,6,2,0.482,263,9,294,651,10089,0,0,0,0,9403
35000,71,29,1,699,247,28,2.422,6,2,0.486,269,9,296,675,11377,0,0,0,0,10672
40000,57,20,0,723,264,20,2.437,6,2,0.497,278,9,295,699,12452,0,0,0,0,11733
45000,39,26,0,735,265,24,2.443,6,2,0.502,283,9,299,711,13238,0,0,0,0,12501
50000,33,20,0,747,272,20,2.452,6,2,0.509,286,9,299,723,13959,0,0,0,0,13216
55000,28,14,0,758,282,14,2.486,6,2,0.534,290,9,299,734,14476,0,0,0,0,13728
60000,22,14,0,764,283,14,2.485,6,2,0.533,291,9,300,740,14907,0,0,0,0,14153
65000,23,11,0,766,286,11,2.485,6,2,0.533,291,9,300,742,15297,0,0,0,0,14544
70000,18,14,0,768,284,14,2.483,6,2,0.532,292,9,300,744,15661,0,0,0,0,14903
75000,21,11,0,768,287,11,2.483,6,2,0.532,292,9,300,744,15995,0,0,0,0,15240
80000,18,9,0,773,291,9,2.493,6,2,0.539,294,9,300,749,16356,0,0,0,0,15598
85000,11,8,0,781,296,8,2.513,6,2,0.553,298,9,300,757,16618,0,0,0,0,15853
90000,11,8,0,781,296,8,2.513,6,2,0.553,298,9,300,757,16815,0,0,0,0,16050
95000,11,8,0,781,296,8,2.513,6,2,0.553,298,9,300,757,16996,0,0,0,0,16231
100000,11,8,0,781,296,8,2.513,6,2,0.553,298,9,300,757,17186,0,0,0,0,16421
