seed,profile,complement,sequence,steps,iters,bodyJostle,expected,exact,other,firstExact,meanBend,faceOccupancy,docks
29,square,true,BABAAB,20000,4,true,ABBABA,9,0,534,3.4731265152936484,0.17533333333333345,264
29,opposed,false,BABAAB,20000,4,true,BAABAB,0,0,,5.6730911456562,0.266833333333333,232
29,opposed,true,BABAAB,20000,4,true,ABBABA,9,0,2038,6.699810211823052,0.1965,383
30,square,false,ABBABA,20000,4,true,ABABBA,10,0,596,3.953971669162133,0.13783333333333336,450
30,square,true,ABBABA,20000,4,true,BABAAB,9,0,859,3.9249905886723706,0.14233333333333353,408
30,opposed,false,ABBABA,20000,4,true,ABABBA,0,0,,9.37771966821071,0.4573333333333334,103
30,opposed,true,ABBABA,20000,4,true,BABAAB,11,0,691,7.106865995078206,0.18450000000000003,306
30,square,false,BABAAB,20000,4,true,BAABAB,8,0,1525,3.6399141489801026,0.12583333333333324,426
30,square,true,BABAAB,20000,4,true,ABBABA,9,0,1927,3.5911318194205832,0.14916666666666678,403
30,opposed,false,BABAAB,20000,4,true,BAABAB,3,0,3296,5.5685130630348505,0.30099999999999993,300
30,opposed,true,BABAAB,20000,4,true,ABBABA,7,0,2692,6.7907494530211,0.17199999999999982,435
