t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,177,15,2,206,24,13,4.946,7,7,1.837,41,4,89,218,2610,8,1,403,9,23,0,2376,1,50,0,0,8,41,4,3,0,0,0,0
20000,94,20,6,280,39,17,4.446,7,10,2.404,82,5,91,412,6840,18,3,463,43,109,0,6400,1,110,0,0,10,31,8,2,0,0,0,0
30000,74,19,1,306,48,15,4.397,7,12,2.737,114,6,97,553,10502,27,4,535,78,186,0,9929,2,183,0,0,12,31,12,12,2,0,0,1
40000,74,18,2,306,50,15,4.308,7,14,3.049,145,7,91,709,14467,34,7,613,125,287,0,13737,2,263,0,0,12,28,14,6,5,0,0,2
50000,93,16,1,290,59,14,3.767,7,14,3.404,190,8,93,870,19083,42,7,671,178,408,0,18192,2,322,0,0,13,26,6,12,0,0,0,0
60000,84,10,2,304,68,10,3.731,7,13,3.282,224,9,95,1007,22613,58,8,740,215,487,0,21590,2,399,0,0,15,26,15,5,5,0,0,2
70000,86,16,2,296,64,15,3.544,7,16,3.416,264,11,95,1160,26992,68,8,821,272,589,0,25809,2,483,0,0,15,23,13,12,4,0,0,2
80000,65,16,2,317,71,15,3.488,6,17,3.544,307,11,88,1329,31572,78,10,889,322,685,0,30222,2,556,0,0,15,25,12,17,6,0,0,2
90000,98,15,0,287,63,14,3.532,7,17,3.594,341,12,92,1447,35610,89,12,946,372,779,0,34144,2,617,0,0,14,24,17,8,4,0,0,2
100000,77,16,2,305,64,13,3.753,7,17,3.489,376,12,99,1597,39872,98,13,999,416,864,0,38253,2,682,0,0,13,31,20,14,9,0,0,4
110000,77,14,1,308,63,13,3.816,7,15,3.508,401,12,96,1713,43398,108,14,1056,456,936,0,41667,2,741,0,0,13,29,9,9,0,0,0,0
120000,68,23,2,307,60,20,3.462,7,15,3.365,438,13,90,1862,47208,118,14,1123,504,1036,0,45313,2,816,0,0,11,31,16,9,10,0,0,3
130000,88,12,2,298,72,11,3.41,7,16,3.428,493,14,89,2043,51568,131,17,1198,566,1162,0,49505,2,883,0,0,15,23,17,6,8,0,0,3
140000,69,17,8,306,66,14,3.625,7,17,3.556,525,14,87,2180,55596,138,19,1270,607,1245,0,53383,2,966,0,0,13,30,8,8,0,0,0,0
150000,62,20,0,318,66,17,3.506,7,19,3.774,561,14,95,2329,59571,154,19,1341,652,1333,0,57214,2,1042,0,0,12,26,15,8,6,0,0,2
