t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,757,6,0,37,0,2,11.5,12,2,1,1,1,297,28,34,0,0,1,3,0,0,0,0,0
10000,697,13,2,88,0,5,10.8,12,2,0.722,4,2,296,81,95,2,1,4,5,0,0,0,0,0
15000,604,37,2,157,0,11,10.818,13,6,2.369,10,3,286,160,198,4,1,9,15,0,0,0,0,0
20000,470,55,7,268,2,17,10.368,13,11,3.111,18,4,288,287,345,7,4,18,31,0,0,0,0,0
25000,365,69,7,359,2,24,9.615,14,17,3.84,25,4,281,405,475,8,6,28,58,0,0,0,0,0
30000,182,111,5,502,1,39,9.25,14,27,4.496,40,5,282,596,704,16,8,57,106,0,0,0,0,0
35000,98,133,4,565,3,45,8.875,14,31,4.686,48,6,291,705,836,16,8,78,154,0,0,0,0,0
40000,56,158,2,584,1,50,8.627,13,34,4.785,53,6,294,783,938,18,8,101,213,0,0,0,0,0
45000,36,149,2,613,4,50,8.463,25,36,4.844,59,7,290,866,1013,18,9,125,267,0,0,0,0,0
50000,19,146,4,631,1,48,9.02,24,36,4.954,63,7,295,939,1085,18,10,155,318,0,0,0,0,0
55000,15,146,0,639,2,47,8.571,24,35,4.931,65,7,298,996,1138,18,11,175,367,0,0,0,0,0
60000,19,147,0,634,5,45,8.36,25,30,4.631,67,7,289,1048,1192,20,12,191,425,0,0,0,0,0
65000,28,152,3,617,5,46,8.098,25,32,4.7,70,7,297,1090,1242,20,13,215,483,0,0,0,0,0
70000,22,162,0,616,4,43,8.085,25,31,4.706,72,7,299,1133,1293,22,14,237,525,0,0,0,0,0
75000,14,166,1,619,2,44,7.957,27,33,4.849,73,7,298,1176,1344,23,14,262,567,0,0,0,0,0
