t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings
5000,764,10,1,25,0,2,6.5,11,2,1,0,0,296,15,27,1,0,0,1,0,0,3,0,0
10000,623,47,5,125,11,34,2.533,12,6,0.867,51,5,271,135,196,2,1,4,10,0,0,11,0,0
15000,232,157,16,395,44,142,2.151,7,11,0.688,259,8,255,549,766,9,6,6,78,0,0,31,0,0
20000,137,169,11,483,68,156,2.138,5,12,0.963,468,11,256,991,1324,15,7,17,229,0,0,74,0,0
25000,143,167,10,480,72,156,2.114,4,8,0.805,650,13,264,1351,1796,23,9,26,386,0,0,118,0,0
30000,116,175,18,491,69,163,2.168,4,11,1.233,825,14,262,1702,2267,36,14,35,533,0,0,158,0,0
35000,116,174,14,496,81,147,2.211,7,15,1.405,991,17,268,2044,2698,42,16,51,675,0,0,209,0,0
40000,91,185,14,510,67,162,2.214,6,17,1.468,1150,17,269,2386,3149,50,19,61,811,0,0,254,0,0
45000,119,177,6,498,66,150,2.264,6,15,1.695,1291,19,264,2699,3535,56,25,77,952,0,0,302,0,0
50000,120,189,5,486,57,159,2.227,5,12,1.55,1445,19,276,3011,3952,60,31,84,1085,0,0,364,0,0
55000,117,187,4,492,56,158,2.238,5,13,1.732,1590,20,268,3332,4356,65,36,95,1232,0,0,392,0,0
60000,101,181,16,502,67,155,2.261,6,12,1.805,1739,20,269,3638,4744,73,40,103,1355,0,0,434,0,0
65000,139,185,2,474,45,158,2.261,6,13,1.757,1864,21,281,3924,5127,80,41,121,1485,0,0,486,0,0
70000,124,191,13,472,49,162,2.232,6,15,1.69,2006,22,267,4217,5531,90,43,136,1611,0,0,532,0,0
75000,144,188,8,460,47,157,2.24,7,14,1.657,2131,22,274,4481,5879,99,46,141,1727,0,0,568,0,0
80000,136,193,8,463,37,168,2.244,6,12,1.775,2267,25,280,4771,6272,108,49,147,1857,0,0,603,0,0
85000,122,188,10,480,52,160,2.241,6,13,1.758,2405,27,276,5048,6634,117,51,156,1969,0,0,642,0,0
90000,130,189,8,473,41,166,2.246,5,14,1.828,2543,28,268,5348,7040,122,55,175,2095,0,0,695,0,0
95000,146,177,7,470,46,160,2.257,6,15,1.881,2691,28,262,5666,7434,132,61,189,2225,0,0,748,0,0
100000,122,188,6,484,41,169,2.238,6,13,1.716,2830,29,275,5962,7833,140,67,201,2352,0,0,786,0,0
