t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,788,1,1,10,1,1,5.5,6,2,1,1,1,299,5,54,2,0,0,1,47
10000,776,5,0,19,0,3,5.333,6,3,1.585,2,2,298,15,192,4,0,0,2,172
15000,774,3,0,23,1,3,5,5,2,1,3,2,300,22,283,5,0,0,5,258
20000,759,5,1,35,3,4,4.429,5,5,2.236,6,3,299,39,572,9,0,0,11,526
25000,757,3,1,39,8,3,3.545,6,8,2.914,12,4,298,62,945,16,3,0,28,881
30000,753,2,0,45,12,2,3.214,6,7,2.664,18,5,299,79,1507,20,3,0,36,1428
35000,753,3,0,44,10,3,3.077,4,8,2.777,21,5,300,94,2047,26,4,0,48,1953
40000,724,3,2,71,21,3,3,4,9,2.666,38,6,296,142,2684,35,5,0,63,2541
45000,726,1,1,72,24,1,2.92,4,8,2.869,45,7,297,164,3590,45,6,0,78,3428
50000,731,5,2,62,21,4,2.48,4,7,2.503,55,7,296,193,4498,60,6,0,107,4302
55000,741,2,0,57,21,2,2.435,5,7,2.274,62,7,297,213,5307,72,7,0,123,5097
60000,744,2,1,53,19,2,2.571,5,8,2.659,72,7,297,239,6004,83,8,0,142,5766
