t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,771,1,0,28,5,1,4,6,2,1,0,0,297,4,329,0,0,0,0,324
10000,751,3,0,46,10,2,3.667,6,2,0.98,6,2,299,22,739,0,0,0,0,714
15000,744,0,0,56,14,0,4,6,2,1,8,2,299,32,1356,0,0,0,0,1324
20000,732,4,0,64,10,4,4,6,2,1,8,2,299,40,2075,0,0,0,0,2031
25000,698,4,0,98,16,4,4.2,6,2,0.993,14,4,294,74,2834,0,0,0,0,2756
30000,677,6,0,117,20,5,4.4,6,2,0.971,19,4,300,93,4036,0,0,0,0,3937
35000,656,5,0,139,25,5,4.267,6,2,0.987,24,5,300,115,5314,0,0,0,0,5194
40000,618,11,2,169,24,10,4.471,6,2,0.96,28,6,297,145,6939,0,0,0,0,6781
45000,565,10,3,222,35,10,4.667,6,2,0.918,39,6,292,198,8693,0,0,0,0,8482
50000,497,8,5,290,50,7,4.877,6,2,0.856,51,7,294,266,10727,0,0,0,0,10448
55000,468,5,0,327,59,5,4.938,6,2,0.835,58,7,297,303,13488,0,0,0,0,13180
60000,412,16,4,368,55,14,4.957,6,2,0.828,63,7,295,344,16014,0,0,0,0,15650
65000,351,17,3,429,62,16,5.077,6,2,0.779,72,8,290,405,18432,0,0,0,0,18007
70000,304,21,1,474,65,20,5.106,6,2,0.767,79,8,297,450,20889,0,0,0,0,20417
75000,264,23,1,512,68,22,5.156,6,2,0.744,84,8,296,488,23100,0,0,0,0,22588
80000,228,14,0,558,87,13,5.24,6,2,0.701,94,8,299,534,25403,0,0,0,0,24855
85000,198,10,1,591,97,10,5.29,6,2,0.675,101,8,297,567,27626,0,0,0,0,27048
90000,168,18,3,611,93,16,5.303,6,2,0.667,103,8,299,587,29844,0,0,0,0,29236
95000,149,16,1,634,100,14,5.333,6,2,0.65,108,8,300,610,31748,0,0,0,0,31121
100000,116,13,1,670,106,13,5.361,6,2,0.634,113,8,297,646,33516,0,0,0,0,32856
