t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,694,20,32,54,13,14,2.741,6,2,0.691,21,3,6,11,82,0,0,0,0,0
10000,512,33,157,98,74,27,2.436,6,2,0.497,95,4,2,29,264,0,0,0,0,0
15000,261,55,319,165,165,42,2.271,6,2,0.357,201,5,0,55,515,0,0,0,0,0
20000,100,79,412,209,204,66,2.207,6,2,0.294,264,5,0,77,676,0,0,0,0,0
25000,22,87,434,257,229,74,2.211,6,2,0.298,297,5,0,97,754,0,0,0,0,0
30000,6,86,393,315,237,74,2.219,6,2,0.306,305,5,0,126,770,0,0,0,0,0
35000,0,90,355,355,232,79,2.219,6,2,0.306,305,5,0,144,776,0,0,0,0,0
40000,0,90,319,391,232,79,2.219,6,2,0.306,305,5,1,160,776,0,0,0,0,0
45000,0,90,279,431,232,79,2.219,6,2,0.306,305,5,0,180,776,0,0,0,0,0
50000,0,90,234,476,232,79,2.219,6,2,0.306,305,5,3,203,776,0,0,0,0,0
55000,0,90,190,520,232,79,2.219,6,2,0.306,305,5,2,225,776,0,0,0,0,0
60000,0,90,161,549,232,79,2.219,6,2,0.306,305,5,3,237,776,0,0,0,0,0
65000,0,90,113,597,232,79,2.219,6,2,0.306,305,5,3,261,776,0,0,0,0,0
70000,0,90,88,622,232,79,2.219,6,2,0.306,305,5,2,273,776,0,0,0,0,0
75000,0,90,44,666,232,79,2.219,6,2,0.306,305,5,5,293,776,0,0,0,0,0
80000,0,90,25,685,232,79,2.219,6,2,0.306,305,5,7,303,776,0,0,0,0,0
85000,0,90,5,705,232,79,2.219,6,2,0.306,305,5,8,313,776,0,0,0,0,0
90000,0,90,3,707,232,79,2.219,6,2,0.306,305,5,10,314,776,0,0,0,0,0
95000,0,90,1,709,232,79,2.219,6,2,0.306,305,5,10,315,776,0,0,0,0,0
100000,0,90,0,710,232,79,2.219,6,2,0.306,305,5,9,316,776,0,0,0,0,0
