arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound,productLateralEvents,productDockEvents,productBindEvents,boundBendDeg,boundShapeSamples,freeBendDeg,freeShapeSamples
soft0NoBind,8,50000,5,0,6,20,6083,1566,1838,0,0,0,0,0,11084,10539,0,0,74,842,0,0,0,2160.959180978457,10539
durableNoBind,9,10000,1,1,4,12,3248,2285,819,0,0,0,0,0,3466,3134,1,0,57,611,0,0,0,0.001135529815113293,3134
soft0,9,10000,8,0,2,3,4836,2586,1157,2366,0,50,2416,0,2946,2773,0,2349,35,508,300,352.162174790069,2416,52.600022864925734,357
durable,9,20000,9,2,5,8,6266,2211,1975,3375,0,178,3481,72,5256,5063,0,3449,25,552,948,0.0013565371663256155,3553,0.0005575207861724563,1510
soft0NoBind,9,10000,1,4,4,8,3408,3684,1117,0,0,0,0,0,2162,1984,0,0,39,875,0,0,0,435.1302678206508,1984
durableNoBind,9,20000,3,2,1,10,3035,1738,873,0,0,0,0,0,6582,6394,0,0,38,557,0,0,0,0.0023352593363811978,6394
soft0,9,20000,12,3,4,6,8478,3328,1907,4625,162,23,4664,146,6033,5813,0,4182,34,707,1452,672.979380952267,4810,111.30249851703954,1003
durable,9,30000,8,2,5,10,7990,1897,2857,4693,6,281,4903,77,8080,7791,0,4643,32,570,944,0.0018755203117817117,4980,0.0010376435843376935,2811
soft0NoBind,9,20000,1,2,4,11,2249,4564,1831,0,0,0,0,0,5416,5160,1,0,44,489,0,0,0,1076.2613749142024,5160
durableNoBind,9,30000,1,2,3,4,2517,2504,934,0,0,0,0,0,6109,5960,0,0,22,571,0,0,0,0.00223816636814537,5960
soft0,9,30000,11,2,6,8,10815,2633,3341,6640,194,366,7165,35,10246,9989,0,6928,39,639,843,1014.1458416044471,7200,546.2590811168443,2789
soft0NoBind,9,30000,1,5,10,5,1419,3916,1744,0,0,0,0,0,5971,5811,0,0,19,238,0,0,0,1281.3015572375748,5811
durableNoBind,9,40000,0,4,4,6,1770,3479,1404,0,0,0,0,0,6679,6548,0,0,21,416,0,0,0,0.0024243790627352484,6548
durable,9,40000,14,3,6,8,10038,2026,2980,5527,503,196,5976,250,10310,9986,0,4859,19,607,1963,0.0022554477565645548,6226,0.0013693857417590928,3760
soft0NoBind,9,40000,1,6,1,3,1359,3958,1259,0,0,0,0,0,3853,3740,1,0,18,289,0,0,0,813.6197816683376,3740
durableNoBind,9,50000,2,2,2,7,1317,2045,1066,0,0,0,0,0,5957,5849,0,0,23,310,0,0,0,0.002160465696810541,5849
