t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,458,27,156,159,57,20,3.558,8,24,3.946,90,4,1,161,4095,57,36,0,28,47,18,3769,19,0,0,0,0,0,0,0,0,0,0,0
20000,247,33,260,260,98,28,3.635,7,30,4.103,192,5,2,332,11083,159,77,0,100,172,46,10393,24,0,0,0,0,0,0,0,0,0,0,0
30000,162,48,236,354,93,41,3.806,8,34,4.457,263,6,1,531,18351,249,109,0,177,325,80,17376,25,0,0,0,0,0,0,0,0,0,0,0
40000,162,49,196,393,89,38,4.126,8,38,4.712,329,6,0,728,25450,341,140,0,278,542,115,24191,28,0,0,0,0,0,0,0,0,0,0,0
50000,132,39,188,440,109,30,3.964,8,36,4.565,404,6,1,927,32632,457,153,0,368,727,160,31086,31,0,0,0,0,0,0,0,0,0,0,0
60000,131,36,178,455,112,28,4.207,8,37,4.595,468,7,0,1113,40119,540,175,0,451,919,195,38317,31,0,0,0,0,0,0,0,0,0,0,0
70000,126,39,167,468,104,33,4.263,8,40,4.624,538,7,1,1300,47726,627,209,0,545,1133,227,45645,33,0,0,0,0,0,0,0,0,0,0,0
80000,120,32,182,466,118,26,4.194,9,44,4.672,614,8,0,1495,55680,735,235,0,636,1366,258,53295,34,0,0,0,0,0,0,0,0,0,0,0
90000,127,38,172,463,114,32,3.966,8,43,4.707,683,8,1,1689,63267,825,263,0,734,1582,291,60603,35,0,0,0,0,0,0,0,0,0,0,0
100000,105,32,189,474,120,28,4.061,8,46,4.891,759,9,4,1907,69977,881,283,0,838,1798,323,66987,35,0,0,0,0,0,0,0,0,0,0,0
110000,132,40,187,441,107,34,4.014,8,35,4.751,827,9,2,2098,77869,987,314,0,943,2054,365,74574,37,0,0,0,0,0,0,0,0,0,0,0
120000,146,47,188,419,96,37,4.113,8,44,4.981,896,10,1,2285,85435,1089,334,0,1040,2275,397,81854,38,0,0,0,0,0,0,0,0,0,0,0
130000,137,29,194,440,113,26,4.23,9,45,4.991,968,10,1,2478,92676,1181,358,0,1128,2484,437,88814,40,0,0,0,0,0,0,0,0,0,0,0
140000,161,36,173,430,101,29,4.238,9,42,4.954,1032,10,3,2680,99916,1254,385,0,1227,2719,468,95769,42,0,0,0,0,0,0,0,0,0,0,0
150000,153,41,186,420,89,34,4.382,9,45,4.875,1095,11,1,2867,107279,1347,417,0,1322,2955,501,102827,44,0,0,0,0,0,0,0,0,0,0,0
160000,129,42,202,427,85,38,4.415,9,50,5.045,1161,11,1,3066,114476,1461,448,0,1412,3177,532,109721,45,0,0,0,0,0,0,0,0,0,0,0
170000,120,44,185,451,94,33,4.583,9,54,5.215,1224,12,1,3242,121226,1558,467,0,1487,3384,579,116198,47,0,0,0,0,0,0,0,0,0,0,0
180000,124,46,183,447,85,36,4.537,9,53,5.296,1282,12,2,3421,127456,1626,501,0,1577,3629,612,122133,50,0,0,0,0,0,0,0,0,0,0,0
190000,108,35,142,515,90,30,4.825,9,56,5.432,1333,13,2,3625,133910,1700,519,0,1658,3826,662,128309,50,0,0,0,0,0,0,0,0,0,0,0
200000,83,44,119,554,85,35,4.975,9,52,5.388,1381,14,4,3812,140055,1782,539,0,1726,3999,710,134203,50,0,0,0,0,0,0,0,0,0,0,0
