t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,311,20,108,73,33,12,3.533,8,20,3.825,70,4,3,214,4870,55,43,0,38,54,34,158,4691,31,0,0,0,0,0,0,0,0,0,0,0
40000,194,28,165,125,41,19,4.033,9,28,4.513,138,5,1,488,11685,153,109,0,117,182,99,371,11284,50,0,0,0,0,0,0,0,0,0,0,0
60000,140,36,187,149,44,25,3.87,10,29,4.418,197,6,0,745,18291,228,151,0,202,321,168,584,17668,58,0,0,0,0,0,0,0,0,0,0,0
80000,170,34,164,144,40,25,4,10,29,4.41,258,7,1,985,24552,318,197,0,297,511,219,781,23733,65,0,0,0,0,0,0,0,0,0,0,0
100000,191,34,172,115,37,19,4.054,11,31,4.537,317,8,0,1233,31604,428,257,0,395,720,273,994,30568,74,0,0,0,0,0,0,0,0,0,0,0
120000,150,25,178,159,55,17,4.056,10,33,4.553,381,10,0,1511,38143,504,304,0,468,853,332,1193,36915,80,0,0,0,0,0,0,0,0,0,0,0
140000,204,19,143,146,50,17,3.925,10,30,4.351,447,11,0,1802,46718,625,354,0,577,1080,389,1415,45270,89,0,0,0,0,0,0,0,0,0,0,0
160000,167,26,194,125,48,22,3.971,9,33,4.71,519,12,0,2055,54352,737,419,0,670,1259,443,1643,52664,96,0,0,0,0,0,0,0,0,0,0,0
180000,182,24,189,117,47,19,4.121,9,30,4.477,581,13,0,2309,61129,829,476,0,763,1440,481,1845,59239,99,0,0,0,0,0,0,0,0,0,0,0
200000,209,17,178,108,55,14,3.812,9,32,4.541,654,13,1,2571,68276,933,533,0,865,1643,532,2062,66173,107,0,0,0,0,0,0,0,0,0,0,0
220000,156,25,183,148,53,20,3.918,8,36,4.839,709,14,1,2810,76400,1049,592,0,940,1777,569,2235,74115,119,0,0,0,0,0,0,0,0,0,0,0
240000,153,37,184,138,32,27,4.322,8,38,5.016,759,15,1,3032,83247,1147,653,0,1037,1953,640,2436,80747,122,0,0,0,0,0,0,0,0,0,0,0
260000,144,35,164,169,28,26,4.741,10,36,4.986,804,16,1,3274,89621,1226,696,0,1112,2108,720,2630,86926,127,0,0,0,0,0,0,0,0,0,0,0
280000,90,29,192,201,46,25,4.62,9,37,4.753,866,17,1,3558,96414,1302,748,0,1193,2273,829,2875,93480,132,0,0,0,0,0,0,0,0,0,0,0
300000,178,24,165,145,33,23,4.679,11,32,4.675,923,19,0,3834,104025,1418,775,0,1292,2531,908,3115,100853,137,0,0,0,0,0,0,0,0,0,0,0
320000,164,32,173,143,43,24,4.015,8,31,4.534,976,20,0,4080,111190,1500,810,0,1382,2696,982,3337,107785,139,0,0,0,0,0,0,0,0,0,0,0
340000,162,27,163,160,49,19,4.074,8,35,4.727,1033,20,1,4317,118749,1564,860,0,1468,2872,1054,3536,115148,149,0,0,0,0,0,0,0,0,0,0,0
360000,169,24,176,143,54,19,3.918,8,32,4.57,1113,20,1,4576,126524,1665,896,0,1576,3078,1151,3797,122662,157,0,0,0,0,0,0,0,0,0,0,0
380000,171,23,184,134,50,16,4.258,9,31,4.58,1180,21,1,4850,134148,1770,950,0,1674,3267,1220,4025,130055,160,0,0,0,0,0,0,0,0,0,0,0
400000,132,33,207,140,41,24,4.354,8,28,4.417,1234,22,0,5106,142262,1892,987,0,1752,3432,1294,4247,137933,167,0,0,0,0,0,0,0,0,0,0,0
420000,131,31,199,151,57,23,3.925,8,28,4.319,1297,24,2,5344,148952,1962,1026,0,1829,3595,1361,4444,144426,172,0,0,0,0,0,0,0,0,0,0,0
440000,158,32,190,132,46,25,3.803,9,27,4.297,1348,25,1,5581,156800,2046,1081,0,1932,3787,1422,4641,152073,181,0,0,0,0,0,0,0,0,0,0,0
460000,121,31,206,154,54,19,4.219,8,37,4.757,1420,25,2,5821,163798,2138,1141,0,2028,3956,1514,4870,158841,189,0,0,0,0,0,0,0,0,0,0,0
480000,149,31,153,179,49,22,4.099,9,33,4.466,1483,25,2,6096,170885,2232,1186,0,2115,4171,1598,5091,165706,193,0,0,0,0,0,0,0,0,0,0,0
500000,124,27,184,177,52,21,4.26,9,39,4.876,1543,26,0,6362,177541,2319,1227,0,2208,4353,1694,5350,172105,197,0,0,0,0,0,0,0,0,0,0,0
520000,111,31,184,186,49,24,4.411,9,33,4.662,1599,27,2,6618,183962,2414,1269,0,2285,4529,1775,5562,178310,202,0,0,0,0,0,0,0,0,0,0,0
540000,123,31,196,162,39,24,4.746,9,35,4.834,1656,28,1,6880,191091,2511,1315,0,2383,4736,1870,5806,185192,204,0,0,0,0,0,0,0,0,0,0,0
560000,136,37,174,165,37,23,4.617,11,35,4.802,1713,29,1,7144,198050,2585,1351,0,2483,4940,1971,6040,191910,212,0,0,0,0,0,0,0,0,0,0,0
580000,136,31,189,155,46,23,4.304,9,34,4.561,1772,29,0,7409,205365,2700,1399,0,2575,5126,2062,6269,199001,217,0,0,0,0,0,0,0,0,0,0,0
