arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound
baseline,1,10000,3,0,0,0,4133,3600,1517,2610,0,0,2610,0,2794,2627,0,2610
baseline,1,20000,9,3,0,0,8376,4199,2773,5085,0,18,5103,0,5366,5148,0,5103
baseline,2,10000,4,2,0,0,4203,4011,1802,863,0,66,929,0,1218,985,3,929
baseline,2,20000,6,5,0,0,7011,5815,3198,4008,0,244,4251,1,4839,4349,0,4251
reset1000,1,10000,3,0,0,10,4045,3600,1581,16,0,3,12,7,3240,1555,1293,7
reset1000,1,20000,5,5,0,17,7152,5684,2677,84,85,7,146,30,10327,6569,3184,27
reset1000,2,10000,0,4,0,4,3600,3998,1655,10,34,0,43,1,1510,811,508,8
reset1000,2,20000,5,6,0,10,5012,7467,2224,119,25,5,140,9,5275,3219,1735,84
