t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,391,3,0,6,0,1,6,6,1,0,0,0,300,0,3,0,0,0,0,0,0,0,0
10000,393,2,0,5,0,1,5,5,1,0,0,0,300,0,3,0,0,0,0,0,0,1,0
15000,391,2,0,7,0,1,5,5,1,0,0,0,298,5,8,0,0,3,3,0,0,1,0
20000,392,2,0,6,0,1,4,4,1,0,0,0,300,5,8,0,0,3,4,0,0,1,0
25000,391,2,0,7,0,1,5,5,1,0,0,0,300,7,10,0,0,5,4,0,0,2,0
30000,382,4,1,13,2,4,2.167,3,2,0.65,9,4,299,22,31,1,1,6,8,0,0,4,0
35000,372,8,0,20,2,8,2,2,3,1.157,16,4,296,38,51,3,1,6,11,0,0,6,0
40000,356,12,0,32,4,12,2,2,3,1.272,32,6,297,70,89,6,2,6,15,0,0,12,0
45000,332,18,2,48,7,18,2,2,3,1.291,64,9,294,128,172,8,2,6,23,0,0,27,0
50000,313,21,4,62,11,21,2.063,3,5,1.497,111,12,287,217,290,11,7,6,46,0,0,45,0
55000,264,39,2,95,10,35,2.111,3,5,1.473,162,14,287,328,435,17,14,6,65,0,0,70,0
60000,274,34,6,86,13,32,2.044,3,3,1.132,213,14,286,411,560,21,15,7,92,0,0,98,0
65000,219,46,10,125,22,43,2.062,3,4,1.294,284,15,280,547,747,26,17,7,115,0,0,128,0
