t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,776,6,0,18,0,4,4.25,5,2,0.811,3,1,297,15,21,0,0,0,3,0
10000,742,19,0,39,0,13,2.769,5,6,2.2,20,4,291,69,90,4,2,0,30,0
15000,607,39,9,145,32,31,2.317,5,10,2.214,103,8,268,244,308,8,15,0,78,0
20000,430,97,14,259,35,84,2.218,5,11,2.197,319,11,248,664,878,32,36,0,271,0
25000,309,131,16,344,45,104,2.315,5,13,2.495,551,13,254,1141,1500,55,64,0,515,0
30000,267,143,11,379,40,112,2.408,5,17,2.667,786,15,249,1665,2157,71,88,0,810,0
35000,236,165,7,392,31,127,2.405,6,15,2.785,1012,17,250,2145,2775,89,106,0,1099,0
40000,248,154,13,385,38,114,2.539,6,17,2.986,1218,17,252,2584,3299,101,135,0,1372,0
45000,241,156,12,391,42,108,2.573,5,19,3.127,1421,19,240,3033,3854,120,163,0,1656,0
50000,230,168,11,391,36,116,2.474,6,16,2.98,1595,19,259,3433,4341,135,182,0,1907,0
55000,256,162,5,377,29,119,2.493,6,17,3.039,1785,20,269,3877,4855,154,202,0,2193,0
60000,254,154,10,382,32,111,2.524,6,16,3.048,1954,22,261,4272,5334,168,226,0,2435,0
65000,218,170,15,397,40,109,2.564,6,20,3.283,2134,24,250,4708,5867,188,252,0,2707,0
70000,215,169,18,398,35,107,2.704,7,23,3.434,2274,25,251,5046,6270,206,274,0,2922,0
75000,235,182,5,378,22,119,2.518,5,18,3.124,2412,27,276,5382,6677,223,293,0,3166,0
80000,246,167,11,376,30,108,2.58,5,18,3.281,2566,29,262,5746,7107,241,314,0,3395,0
85000,264,164,6,366,32,102,2.582,5,17,3.18,2729,30,271,6132,7571,252,334,0,3653,0
90000,245,162,13,380,39,103,2.57,6,18,3.253,2893,30,274,6504,8020,271,352,0,3883,0
95000,266,163,15,356,34,103,2.496,5,14,2.967,3054,30,266,6874,8477,295,372,0,4138,0
100000,231,177,15,377,26,117,2.538,6,17,3.079,3206,30,266,7239,8931,307,391,0,4360,0
105000,257,154,21,368,38,108,2.521,6,18,3.006,3395,32,257,7642,9405,319,410,0,4623,0
110000,224,156,9,411,49,112,2.478,5,16,2.742,3603,32,250,8113,9980,334,432,0,4893,0
115000,235,153,15,397,50,111,2.453,5,19,2.961,3795,32,261,8545,10501,353,452,0,5170,0
120000,239,151,11,399,46,113,2.497,5,18,3.066,3980,32,258,8991,11031,368,474,0,5449,0
125000,209,173,15,403,46,116,2.451,4,14,2.858,4183,33,256,9437,11601,382,498,0,5720,0
130000,231,151,19,399,50,106,2.545,6,18,2.919,4382,33,247,9875,12121,395,525,0,5997,0
135000,270,152,12,366,31,111,2.514,6,16,2.992,4566,35,262,10285,12628,419,546,0,6282,0
140000,236,168,10,386,32,118,2.513,5,15,2.983,4746,37,252,10687,13138,437,560,0,6532,0
145000,239,174,5,382,28,120,2.459,5,16,3.018,4917,37,269,11081,13632,461,585,0,6788,0
150000,279,156,7,358,22,108,2.646,6,18,3.342,5070,37,276,11435,14049,469,607,0,7022,0
