t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,720,16,6,58,13,16,2.138,3,5,1.268,34,4,285,66,80,2,3,0,5,0,5,0,0
10000,322,123,11,344,50,116,2.12,4,7,1.548,229,9,255,463,615,11,11,0,66,0,6,0,0
15000,136,166,14,484,80,153,2.12,4,11,1.651,433,10,265,885,1149,22,25,0,216,0,6,0,0
20000,84,189,7,520,71,171,2.136,4,9,1.798,576,11,274,1194,1539,28,35,0,361,0,6,0,0
25000,97,173,9,521,89,156,2.135,4,10,1.894,700,12,268,1440,1839,35,39,0,498,0,6,0,0
30000,106,181,9,504,74,161,2.157,4,11,1.934,845,12,271,1734,2227,40,46,0,667,0,6,0,0
35000,84,178,10,528,85,161,2.159,4,12,1.988,988,13,278,2030,2592,44,52,0,815,0,6,0,0
40000,87,187,5,521,69,168,2.19,4,11,2.044,1113,14,268,2294,2930,48,54,0,964,0,6,0,0
45000,98,190,6,506,65,169,2.158,4,11,1.863,1230,14,276,2536,3239,54,58,0,1104,0,6,0,0
50000,93,192,10,505,63,168,2.195,4,12,1.972,1361,14,278,2804,3579,57,66,0,1244,0,6,0,0
55000,98,189,5,508,63,164,2.216,4,12,2.044,1484,14,282,3079,3907,63,72,0,1387,0,6,0,0
60000,70,201,7,522,59,178,2.207,4,11,2.033,1618,15,277,3354,4257,70,79,0,1534,0,6,0,0
65000,85,191,5,519,67,167,2.201,4,11,1.927,1728,15,264,3585,4539,74,83,0,1664,0,6,0,0
70000,88,190,7,515,73,164,2.169,3,9,1.853,1856,17,266,3841,4865,85,85,0,1811,0,6,0,0
75000,93,187,9,511,73,159,2.198,4,10,1.955,1995,17,272,4131,5215,92,94,0,1970,0,6,0,0
80000,82,189,8,521,69,162,2.234,4,12,2.081,2118,17,273,4407,5544,97,101,0,2114,0,6,0,0
85000,71,198,7,524,55,175,2.265,4,11,2.11,2228,17,282,4644,5837,103,105,0,2241,0,6,0,0
90000,92,196,6,506,55,168,2.256,4,13,2.133,2346,18,273,4888,6139,107,111,0,2389,0,6,0,0
95000,95,202,8,495,52,169,2.249,4,14,2.073,2467,20,278,5139,6460,115,121,0,2535,0,6,0,0
100000,85,188,11,516,69,158,2.278,4,13,2.134,2586,21,265,5398,6767,122,126,0,2666,0,6,0,0
