t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,770,1,1,28,6,1,3.714,6,2,0.985,1,1,296,4,341,0,0,0,0,335
10000,760,1,0,39,8,1,4.222,6,2,0.991,3,1,298,15,721,0,0,0,0,705
15000,737,3,1,59,9,3,4.333,6,2,0.98,6,2,298,35,1188,0,0,0,0,1149
20000,722,4,2,72,12,3,4.667,6,2,0.918,9,3,296,48,1995,0,0,0,0,1941
25000,698,4,1,97,15,4,4.737,6,2,0.9,13,4,296,73,2847,0,0,0,0,2769
30000,667,5,3,125,21,4,4.88,6,2,0.855,19,4,296,101,4035,0,0,0,0,3926
35000,651,6,0,143,23,4,4.815,6,2,0.877,21,4,298,119,5288,0,0,0,0,5163
40000,633,5,0,162,28,4,4.875,6,2,0.857,26,4,300,138,6974,0,0,0,0,6831
45000,604,7,1,188,28,7,4.971,6,2,0.822,29,5,297,164,8765,0,0,0,0,8593
50000,555,10,0,235,34,9,5.07,6,2,0.782,37,5,295,211,10728,0,0,0,0,10507
55000,501,14,0,285,39,12,5.137,6,2,0.752,45,5,292,261,12782,0,0,0,0,12507
60000,440,16,3,341,45,15,5.267,6,2,0.687,54,6,297,317,15013,0,0,0,0,14677
65000,399,17,4,380,51,15,5.273,6,2,0.684,60,6,295,356,17263,0,0,0,0,16886
70000,348,12,1,439,64,12,5.368,6,2,0.629,70,6,295,415,19534,0,0,0,0,19106
75000,310,15,0,475,71,13,5.429,6,2,0.592,78,6,299,451,22264,0,0,0,0,21798
80000,264,18,1,517,73,16,5.461,6,2,0.571,83,6,292,493,24802,0,0,0,0,24290
85000,225,13,0,562,87,12,5.434,6,2,0.588,93,6,293,538,27321,0,0,0,0,26770
90000,190,17,0,593,90,15,5.467,6,2,0.567,99,6,296,569,29647,0,0,0,0,29061
95000,171,16,0,613,91,15,5.472,6,2,0.563,100,6,300,589,31689,0,0,0,0,31084
100000,153,13,0,634,97,13,5.491,6,2,0.55,104,6,300,610,33687,0,0,0,0,33064
