t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,693,26,4,77,13,24,2.108,6,4,1.399,39,5,278,79,95,4,1,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0
10000,150,147,11,492,94,142,2.081,7,8,1.545,274,9,245,560,718,13,8,10,0,0,10,45,0,0,0,0,0,0,0,0,0,0
15000,32,184,6,578,97,173,2.107,7,12,1.71,379,10,291,778,999,21,9,27,0,0,10,122,0,0,0,0,0,0,0,0,0,0
20000,40,192,2,566,75,175,2.192,8,15,2.01,440,11,287,919,1188,25,11,50,0,0,10,212,0,0,0,0,0,0,0,0,0,0
25000,34,192,8,566,68,171,2.285,6,16,2.288,496,11,284,1039,1349,27,12,80,0,0,10,292,0,0,0,0,0,0,0,0,0,0
30000,35,191,3,571,63,162,2.409,7,19,2.606,539,11,284,1146,1478,29,15,108,0,0,10,360,0,0,0,0,0,0,0,0,0,0
35000,45,212,0,543,43,169,2.425,8,19,2.61,576,11,290,1231,1610,29,16,130,0,0,10,441,0,0,0,0,0,0,0,0,0,0
40000,34,211,3,552,42,176,2.413,6,21,2.623,619,11,291,1330,1735,29,19,150,0,0,10,509,0,0,0,0,0,0,0,0,0,0
45000,51,210,1,538,39,166,2.468,9,23,2.757,657,12,287,1419,1851,30,21,165,0,0,10,577,0,0,0,0,0,0,0,0,0,0
50000,34,209,7,550,38,170,2.486,8,20,2.74,709,12,284,1548,2015,33,22,192,0,0,10,662,0,0,0,0,0,0,0,0,0,0
55000,36,216,4,544,35,174,2.464,7,18,2.725,751,13,293,1645,2141,35,26,208,0,0,10,738,0,0,0,0,0,0,0,0,0,0
60000,31,221,5,543,32,178,2.452,7,20,2.735,794,13,293,1746,2274,43,28,218,0,0,10,806,0,0,0,0,0,0,0,0,0,0
65000,40,218,3,539,33,169,2.51,8,22,2.821,835,13,295,1847,2399,46,30,244,0,0,10,880,0,0,0,0,0,0,0,0,0,0
70000,40,214,3,543,42,163,2.498,8,22,2.744,884,14,288,1959,2529,48,33,261,0,0,10,955,0,0,0,0,0,0,0,0,0,0
75000,44,203,4,549,46,154,2.55,7,25,2.829,932,15,291,2074,2653,51,37,282,0,0,10,1028,0,0,0,0,0,0,0,0,0,0
80000,43,215,0,542,35,164,2.543,7,25,2.888,978,15,290,2175,2786,54,37,300,0,0,10,1103,0,0,0,0,0,0,0,0,0,0
85000,37,216,8,539,36,165,2.522,7,24,2.92,1025,16,296,2278,2925,57,38,320,0,0,10,1177,0,0,0,0,0,0,0,0,0,0
90000,36,212,0,552,42,158,2.545,7,25,2.962,1072,17,290,2402,3078,57,39,345,0,0,10,1260,0,0,0,0,0,0,0,0,0,0
95000,38,210,1,551,44,161,2.517,8,22,2.807,1115,18,295,2497,3196,58,42,354,0,0,10,1327,0,0,0,0,0,0,0,0,0,0
100000,38,212,2,548,40,161,2.562,8,24,2.85,1159,18,288,2591,3323,58,45,369,0,0,10,1392,0,0,0,0,0,0,0,0,0,0
