t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,773,4,2,21,2,2,5,5,1,0,3,1,284,16,22,0,2,0,1,0,0,0,0
10000,732,17,3,48,2,9,3.909,5,4,1.868,10,3,250,50,70,0,3,0,8,0,0,0,0
15000,610,42,19,129,17,30,2.936,5,8,2.548,50,6,158,153,217,1,8,0,31,0,0,0,11
20000,406,100,52,242,31,75,2.585,6,15,2.747,136,7,45,326,508,10,16,0,84,0,0,0,71
25000,240,147,94,319,54,105,2.453,5,13,2.41,261,9,23,497,857,27,24,0,182,0,0,0,220
30000,177,142,161,320,74,110,2.446,5,14,2.454,368,10,14,602,1136,41,33,0,298,0,0,0,316
35000,169,161,124,346,68,119,2.406,6,13,2.408,478,10,16,763,1426,48,39,0,449,0,0,0,479
40000,129,183,65,423,57,136,2.394,6,14,2.287,571,10,49,974,1693,54,44,0,559,0,0,0,723
45000,99,194,20,487,52,143,2.426,5,13,2.315,672,11,112,1227,1973,69,56,0,686,0,0,0,1039
50000,90,210,9,491,37,156,2.43,6,16,2.389,755,11,144,1425,2224,76,64,0,808,0,0,0,1269
55000,110,181,21,488,66,130,2.449,7,17,2.462,861,12,120,1648,2492,85,72,0,947,0,0,0,1468
60000,89,197,21,493,60,142,2.376,6,15,2.342,966,12,129,1875,2789,94,75,0,1082,0,0,0,1704
65000,83,198,8,511,52,150,2.421,6,15,2.533,1061,13,158,2098,3045,106,82,0,1206,0,0,0,1956
70000,95,197,20,488,57,146,2.36,6,14,2.337,1169,13,146,2327,3330,111,88,0,1356,0,0,0,2173
75000,84,203,11,502,56,152,2.351,6,16,2.201,1265,13,141,2545,3593,117,95,0,1475,0,0,0,2386
80000,77,196,18,509,69,147,2.301,6,15,2.162,1355,13,167,2732,3826,122,98,0,1581,0,0,0,2599
