t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,760,8,0,32,0,5,4.8,6,2,0.971,4,2,294,28,36,0,0,0,2,0
10000,666,34,7,93,5,21,3.346,6,5,2.19,25,4,296,103,144,2,1,0,17,0
15000,351,113,18,318,33,83,2.681,6,12,2.613,132,11,260,386,525,11,4,0,59,0
20000,124,172,10,494,60,136,2.413,5,12,2.299,275,13,260,721,947,17,6,0,161,0
25000,87,191,4,518,62,150,2.335,5,12,2.147,383,14,275,967,1247,24,8,0,295,0
30000,89,196,13,502,57,153,2.357,5,13,2.178,466,14,281,1150,1491,27,13,0,411,0
35000,76,206,9,509,59,157,2.319,5,14,2.115,565,14,285,1363,1740,31,14,0,527,0
40000,104,193,9,494,57,148,2.337,5,13,2.071,673,14,271,1601,2021,35,16,0,666,0
45000,81,209,8,502,46,165,2.322,6,13,1.917,768,14,284,1814,2299,36,17,0,785,0
50000,80,197,12,511,58,154,2.349,5,13,2.058,869,14,283,2045,2579,44,19,0,911,0
55000,70,205,4,521,65,158,2.278,5,12,1.818,978,14,272,2280,2863,48,20,0,1042,0
60000,75,205,6,514,55,162,2.318,5,13,1.953,1070,15,290,2482,3104,54,23,0,1154,0
65000,96,206,9,489,49,159,2.293,5,12,1.981,1164,15,277,2685,3359,59,24,0,1281,0
70000,73,200,5,522,67,157,2.272,4,10,2.006,1266,15,286,2907,3621,63,26,0,1391,0
75000,113,209,0,478,42,159,2.294,5,11,2.039,1342,15,279,3086,3855,65,28,0,1512,0
80000,90,211,5,494,49,164,2.286,5,10,1.96,1457,18,276,3316,4145,74,30,0,1632,0
85000,82,203,6,509,62,159,2.253,5,10,1.835,1569,18,269,3564,4438,76,35,0,1762,0
90000,120,187,10,483,63,147,2.257,5,11,1.762,1687,19,278,3812,4732,80,39,0,1915,0
95000,78,192,6,524,67,156,2.287,5,13,1.999,1809,20,277,4082,5068,84,42,0,2047,0
100000,104,198,5,493,53,157,2.3,5,14,2.09,1898,20,284,4280,5329,91,45,0,2174,0
