t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits
20000,152,2,6,40,19,2,2.19,3,2,0.702,37,5,36,80,2401,6,0,0,12,14,0,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
40000,103,4,14,79,37,4,2.268,3,2,0.839,127,7,34,256,6740,17,1,0,50,53,0,6441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
60000,124,2,8,66,35,2,2,2,2,0.303,210,9,34,424,11248,30,3,0,91,98,0,10771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
80000,147,1,6,46,24,1,2.08,3,4,0.72,277,12,37,550,15459,37,5,0,116,120,0,14845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
100000,151,1,6,42,20,1,2.286,4,3,0.964,333,16,37,653,18853,43,7,0,143,150,0,18112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
120000,153,1,10,36,22,1,2,2,2,0.426,402,19,35,774,22604,53,7,0,173,179,0,21713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
140000,170,0,2,28,15,0,2,2,3,1.053,462,20,38,878,25796,58,8,0,200,204,0,24787,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318
160000,157,3,1,39,17,3,2,2,2,0.469,520,24,37,980,28767,63,12,0,228,232,0,27643,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
180000,179,1,3,17,9,1,2,2,1,0,568,25,38,1062,31357,66,13,0,258,261,0,30132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373
200000,182,0,2,16,9,0,2,2,1,0,604,25,39,1122,33129,70,15,0,266,269,0,31833,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403
220000,176,2,3,19,10,1,2,2,1,0,643,26,39,1192,35080,74,16,0,276,279,0,33705,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
240000,156,1,7,36,20,1,2.048,3,3,0.857,681,28,37,1261,36871,77,18,0,292,295,0,35415,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445
260000,169,1,0,30,14,1,2,2,1,0,719,30,38,1334,39546,90,18,0,311,314,0,38011,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471
280000,161,1,1,37,18,1,2,2,1,0,772,35,39,1428,42513,98,18,0,337,339,0,40870,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494
300000,157,3,4,36,17,3,2,2,1,0,837,37,37,1545,46118,106,18,0,364,364,0,44342,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531
320000,158,0,9,33,21,0,2,2,2,0.454,895,42,36,1640,48804,114,18,0,389,388,0,46918,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
340000,140,6,9,45,18,6,2.167,3,3,0.889,964,45,34,1775,52202,122,22,0,419,418,0,50158,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605
360000,150,2,6,42,22,2,2,2,2,0.65,1028,48,36,1887,55613,133,22,0,448,449,0,53438,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645
380000,140,4,9,47,21,4,2.2,3,5,1.654,1091,50,39,2004,59059,146,25,0,476,475,0,56750,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682
400000,144,2,3,51,25,2,2,2,2,0.381,1162,53,38,2133,62904,158,26,0,515,513,0,60455,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718
420000,156,0,9,35,21,0,2,2,2,0.702,1223,54,39,2235,66473,169,27,0,545,543,0,63902,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755
440000,160,0,3,37,20,0,2,2,3,0.569,1284,55,38,2343,69970,184,28,0,570,568,0,67275,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793
460000,147,2,11,40,23,2,2.04,3,3,0.482,1345,55,37,2445,73088,194,29,0,589,584,0,70274,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830
480000,160,2,1,37,15,2,2.235,3,3,0.978,1416,55,38,2593,77177,210,31,0,629,626,0,74211,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874
500000,144,4,3,49,21,4,2.08,3,2,0.402,1492,60,37,2736,81059,224,34,0,659,655,0,77934,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919
520000,153,2,8,37,18,2,2.25,3,3,1.054,1548,60,39,2842,84616,230,35,0,685,683,0,81372,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957
540000,146,0,9,45,27,0,2,2,2,0.605,1616,60,39,2973,88436,243,36,0,712,716,0,85041,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005
560000,166,0,0,34,17,0,2,2,2,0.672,1683,61,37,3106,92165,255,37,0,744,749,0,88634,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050
580000,152,4,3,41,18,4,2,2,1,0,1739,61,38,3206,95161,263,37,0,765,769,0,91512,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080
600000,170,0,4,26,15,0,2,2,1,0,1797,64,39,3314,98580,267,40,0,798,802,0,94815,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114
620000,138,1,14,47,29,1,2.033,3,2,0.211,1869,69,37,3434,102107,275,42,0,823,827,0,98196,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147
640000,136,2,2,60,29,2,2,2,2,0.206,1952,72,29,3602,106313,282,43,0,868,874,0,102226,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189
660000,148,2,9,41,23,2,2,2,2,0.402,2035,73,38,3738,110134,296,44,0,904,909,0,105879,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244
680000,171,1,9,19,11,1,2.25,3,3,1.384,2077,73,38,3818,112695,301,45,0,922,927,0,108355,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281
