t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,244,37,99,420,122,31,3.105,8,22,3.334,178,5,90,477,8067,104,35,0,41,73,7492,22,0,274,0,0,0,0,0,0,0,37,0
20000,117,37,20,626,145,31,3.392,8,30,3.729,293,7,184,954,19066,251,74,0,155,256,18104,27,0,784,0,0,0,0,0,0,0,58,0
30000,134,31,20,615,139,24,3.607,8,36,4.246,391,8,181,1323,29817,392,101,0,284,518,28503,27,0,1122,0,0,0,0,0,0,0,56,0
40000,107,32,19,642,134,28,3.796,8,38,4.46,477,8,194,1666,38422,497,122,0,392,729,36779,27,0,1435,0,0,0,0,0,0,0,62,0
50000,96,39,23,642,125,32,3.904,8,39,4.67,548,9,217,1956,46999,610,140,0,491,925,45069,30,0,1728,0,0,0,0,0,0,0,66,0
60000,113,35,22,630,123,31,3.948,7,42,4.78,617,9,206,2249,54860,711,163,0,588,1139,52661,33,0,1993,0,0,0,0,0,0,0,59,0
70000,100,44,18,638,116,31,4.054,7,37,4.805,680,9,199,2545,63695,820,178,0,675,1340,61206,33,0,2259,0,0,0,0,0,0,0,58,0
80000,82,39,10,669,116,34,4.147,8,44,4.921,755,9,202,2885,72303,919,200,0,771,1568,69495,36,0,2570,0,0,0,0,0,0,0,66,0
90000,116,34,22,628,114,31,4.028,8,43,4.815,820,10,202,3155,80048,1026,217,0,865,1788,76977,37,0,2822,0,0,0,0,0,0,0,55,0
100000,96,33,19,652,124,29,4.039,9,43,4.704,902,11,190,3502,89549,1146,244,0,960,2027,86143,37,0,3112,0,0,0,0,0,0,0,54,0
110000,78,40,18,664,124,35,4.044,9,42,4.705,970,12,198,3789,96784,1234,266,0,1046,2226,93096,38,0,3390,0,0,0,0,0,0,0,69,0
120000,110,40,15,635,114,33,4,9,45,4.873,1047,12,198,4128,104433,1329,295,0,1164,2479,100428,38,0,3703,0,0,0,0,0,0,0,63,0
130000,118,37,21,624,114,31,4.069,9,47,4.836,1117,15,208,4431,112434,1426,312,0,1258,2705,108130,38,0,3995,0,0,0,0,0,0,0,71,0
140000,103,32,27,638,134,27,3.888,10,44,4.763,1198,16,201,4736,121096,1540,328,0,1344,2923,116492,40,0,4272,0,0,0,0,0,0,0,60,0
150000,119,40,22,619,122,35,3.752,9,40,4.717,1279,16,184,5056,130304,1662,350,0,1452,3169,125377,40,0,4548,0,0,0,0,0,0,0,52,0
