t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,746,8,0,46,5,4,3.778,6,2,0.991,3,1,299,22,220,0,0,0,0,190
10000,645,14,7,134,32,11,2.93,6,2,0.782,37,6,284,110,725,0,0,0,0,594
15000,487,22,12,279,80,18,2.735,6,2,0.688,92,6,280,255,2155,0,0,0,0,1866
20000,304,35,7,454,132,29,2.696,6,2,0.667,155,9,282,430,4299,0,0,0,0,3827
25000,178,36,2,584,178,32,2.61,6,2,0.616,204,9,290,560,6509,0,0,0,0,5911
30000,117,36,1,646,202,30,2.655,6,2,0.643,226,9,295,622,8239,0,0,0,0,7580
35000,82,35,1,682,213,32,2.637,6,2,0.632,239,9,298,658,9719,0,0,0,0,9025
40000,56,30,0,714,228,26,2.661,6,2,0.647,248,9,298,690,10689,0,0,0,0,9969
45000,47,24,1,728,235,22,2.7,6,2,0.669,251,9,298,704,11453,0,0,0,0,10724
50000,38,21,1,740,240,20,2.708,6,2,0.673,254,9,299,716,12136,0,0,0,0,11398
55000,33,19,1,747,245,18,2.73,6,2,0.686,257,9,300,723,12730,0,0,0,0,11987
60000,24,19,0,757,249,18,2.749,6,2,0.696,261,9,300,733,13248,0,0,0,0,12496
65000,26,15,0,759,253,14,2.749,6,2,0.696,261,9,300,735,13684,0,0,0,0,12934
70000,24,16,0,760,252,15,2.749,6,2,0.696,261,9,300,736,14112,0,0,0,0,13360
75000,18,18,0,764,251,17,2.746,6,2,0.694,262,9,299,740,14520,0,0,0,0,13762
80000,21,13,0,766,256,12,2.746,6,2,0.694,262,9,299,742,14883,0,0,0,0,14128
85000,15,16,0,769,253,15,2.746,6,2,0.694,262,9,300,745,15130,0,0,0,0,14369
90000,14,14,0,772,256,13,2.758,6,2,0.701,263,9,300,748,15375,0,0,0,0,14613
95000,12,15,0,773,255,14,2.758,6,2,0.701,263,9,300,749,15575,0,0,0,0,14811
100000,12,13,0,775,257,12,2.758,6,2,0.701,263,9,300,751,15779,0,0,0,0,15015
