t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,784,3,0,13,0,2,4.5,5,2,1,1,1,299,9,65,1,0,0,2,53
10000,761,7,1,31,2,5,4,5,5,2.128,7,3,298,33,209,2,0,0,8,167
15000,727,11,2,60,8,9,3.118,5,5,2.137,18,4,291,72,496,5,1,0,18,410
20000,673,12,1,114,27,11,2.842,5,10,2.953,51,6,290,167,1233,15,3,0,50,1051
25000,583,20,2,195,54,19,2.548,5,10,2.43,107,8,285,309,2473,25,4,0,93,2134
30000,527,27,3,243,70,26,2.479,5,10,2.493,184,9,281,502,4324,50,9,0,185,3784
35000,486,32,4,278,77,32,2.431,5,11,2.504,267,11,279,707,6488,71,12,0,286,5732
40000,442,31,4,323,103,29,2.402,5,12,2.474,361,11,280,931,8715,90,17,0,399,7731
45000,436,31,5,328,101,29,2.469,5,12,2.409,442,14,278,1139,11182,118,21,0,522,9983
50000,404,31,5,360,108,30,2.58,5,13,2.689,528,15,281,1361,13737,149,31,0,644,12314
55000,441,30,4,325,101,28,2.473,5,12,2.561,596,16,276,1528,16199,178,38,0,773,14612
60000,439,33,11,317,101,32,2.353,5,11,2.36,700,16,281,1759,18701,207,43,0,922,16862
65000,421,27,4,348,119,27,2.349,5,11,2.291,814,16,269,2025,21234,235,49,0,1062,19136
70000,411,37,3,349,115,36,2.272,5,12,2.063,916,16,282,2254,23712,262,51,0,1194,21367
75000,450,37,7,306,96,37,2.301,5,12,2.172,1011,16,278,2462,26172,289,55,0,1340,23608
80000,408,31,5,356,120,31,2.338,4,12,2.254,1113,16,276,2701,28786,319,60,0,1449,25987
85000,444,23,7,326,118,23,2.277,4,13,2.222,1211,16,281,2922,31332,351,67,0,1604,28306
90000,425,32,6,337,117,32,2.262,4,11,2.136,1326,16,279,3169,33992,385,76,0,1743,30706
95000,441,29,4,326,117,27,2.257,4,10,2.068,1425,18,281,3385,36582,418,79,0,1876,33073
100000,459,25,13,303,113,25,2.232,4,10,2.009,1525,18,281,3595,39346,442,86,0,2008,35618
