t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,772,6,1,21,0,4,4.5,5,2,1,3,2,297,17,24,0,1,0,2,0,0,0,0
10000,714,22,1,63,2,11,4,5,5,2.2,12,4,291,68,90,4,3,0,11,0,0,0,0
15000,580,62,5,153,9,31,3.425,6,12,3.054,40,6,286,176,237,6,8,0,28,0,0,0,0
20000,324,133,10,333,26,85,2.892,5,16,3.001,137,11,267,430,587,14,9,0,79,0,0,0,0
25000,143,185,9,463,35,125,2.781,6,16,2.854,240,12,278,695,928,27,18,0,168,0,0,0,0
30000,82,201,8,509,50,132,2.659,6,15,2.79,317,14,280,898,1174,30,25,0,272,0,0,0,0
35000,64,217,7,512,48,138,2.624,6,17,2.806,383,14,282,1062,1379,39,29,0,373,0,0,0,0
40000,66,220,3,511,44,143,2.561,5,15,2.623,453,14,287,1230,1578,50,34,0,477,0,0,0,0
45000,106,210,7,477,38,132,2.635,5,16,2.804,537,14,282,1428,1813,55,39,0,614,0,0,0,0
50000,94,215,6,485,30,140,2.676,5,18,2.902,602,14,283,1598,2018,63,47,0,711,0,0,0,0
55000,65,224,8,503,33,148,2.608,6,19,2.706,672,15,280,1772,2231,68,57,0,809,0,0,0,0
60000,81,209,6,504,44,138,2.599,6,17,2.655,748,15,282,1956,2429,75,67,0,924,0,0,0,0
65000,72,217,8,503,48,141,2.55,6,16,2.593,823,15,286,2128,2643,79,69,0,1033,0,0,0,0
70000,72,219,10,499,42,141,2.585,6,17,2.675,888,15,286,2287,2839,86,74,0,1127,0,0,0,0
75000,90,217,3,490,30,145,2.646,6,19,2.772,950,15,289,2444,3025,89,79,0,1231,0,0,0,0
80000,81,223,4,492,38,144,2.566,5,20,2.701,1017,15,282,2605,3224,95,83,0,1332,0,0,0,0
85000,55,219,6,520,46,150,2.536,6,19,2.811,1091,16,285,2784,3428,104,86,0,1427,0,0,0,0
90000,77,225,6,492,40,147,2.524,6,19,2.788,1150,17,290,2928,3607,113,91,0,1534,0,0,0,0
95000,81,220,4,495,43,142,2.546,6,18,2.812,1229,19,272,3123,3823,126,100,0,1645,0,0,0,0
100000,64,218,2,516,49,147,2.536,6,20,2.877,1301,20,283,3292,4017,134,104,0,1736,0,0,0,0
