t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,755,2,4,39,8,2,4,6,2,1,4,1,296,15,267,0,0,0,0,246
10000,726,5,0,69,13,3,4,6,2,1,10,3,292,45,818,0,0,0,0,768
15000,684,12,4,100,15,10,3.6,6,2,0.971,19,4,293,76,1607,0,0,0,0,1515
20000,580,17,3,200,35,13,3.667,6,2,0.98,42,5,291,176,2798,0,0,0,0,2602
25000,462,28,6,304,51,23,3.676,6,2,0.981,68,5,292,280,4492,0,0,0,0,4178
30000,364,30,6,400,74,24,3.755,6,2,0.989,92,6,291,376,6673,0,0,0,0,6261
35000,250,31,5,514,99,26,3.856,6,2,0.996,119,7,290,490,8909,0,0,0,0,8383
40000,171,37,1,591,106,32,3.855,6,2,0.996,132,7,291,567,10814,0,0,0,0,10209
45000,106,36,0,658,120,31,3.881,6,2,0.997,145,7,296,634,12250,0,0,0,0,11580
50000,81,33,0,686,127,31,3.873,6,2,0.997,152,8,294,662,13315,0,0,0,0,12620
55000,61,28,0,711,137,28,3.915,6,2,0.999,159,8,298,687,14117,0,0,0,0,13402
60000,49,27,0,724,141,26,3.94,6,2,0.999,161,8,300,700,14842,0,0,0,0,14115
65000,47,24,1,728,146,23,3.964,6,2,1,163,8,300,704,15438,0,0,0,0,14709
70000,38,23,0,739,150,22,3.977,6,2,1,166,8,300,715,16027,0,0,0,0,15289
75000,27,22,0,751,156,20,4.023,6,2,1,170,8,300,727,16588,0,0,0,0,15839
80000,23,16,0,761,164,15,4.034,6,2,1,173,8,299,737,16980,0,0,0,0,16227
85000,20,17,0,763,164,16,4.022,6,2,1,174,8,300,739,17313,0,0,0,0,16557
90000,17,16,0,767,166,15,4.033,6,2,1,175,8,299,743,17619,0,0,0,0,16860
95000,16,14,0,770,169,13,4.044,6,2,1,176,8,300,746,17867,0,0,0,0,17107
100000,13,14,0,773,169,13,4.044,6,2,1,176,8,300,749,18089,0,0,0,0,17326
