t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,332,78,85,145,2,12,8.143,10,6,2.149,27,2,1,71,351,98,0,0,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,258,110,84,188,1,14,8.533,10,6,2.099,54,2,0,135,542,168,0,0,103,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,334,86,75,145,0,11,10,10,2,0.684,118,4,5,195,758,228,0,0,227,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,368,72,63,137,3,13,6.813,10,9,2.781,170,4,2,244,948,280,0,0,323,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,248,98,115,179,1,16,10,10,2,0.998,206,4,1,298,1218,361,0,0,390,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,183,109,120,228,5,18,7.87,10,8,2.401,227,4,0,346,1394,415,0,0,442,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,220,117,88,215,4,20,7.958,10,9,2.499,292,5,2,401,1653,489,0,0,563,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,149,126,114,251,3,22,8.56,10,6,1.883,321,5,0,458,1871,557,0,0,621,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,142,143,86,269,2,21,8.522,10,9,2.364,351,5,0,521,2063,621,0,0,701,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,97,162,65,316,0,24,9.208,10,6,1.817,374,5,2,593,2239,676,0,0,753,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
