t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,163,24,1,612,174,22,2.954,6,17,3.008,242,7,227,714,10776,130,32,0,55,64,10116,25,0,0,0,0,0,0,0,0,0,0,0
20000,110,24,0,666,168,22,3.311,7,24,3.569,340,7,239,1053,21494,252,54,0,164,233,20514,26,0,0,0,0,0,0,0,0,0,0,0
30000,127,25,5,643,158,23,3.387,8,29,3.68,423,8,233,1360,31251,378,77,0,273,454,29979,27,0,0,0,0,0,0,0,0,0,0,0
40000,95,33,3,669,143,31,3.546,9,33,3.977,506,8,232,1711,40913,503,102,0,385,667,39310,29,0,0,0,0,0,0,0,0,0,0,0
50000,111,37,4,648,133,33,3.596,9,36,4.169,578,9,237,2003,48818,592,125,0,484,879,46937,30,0,0,0,0,0,0,0,0,0,0,0
60000,100,33,0,667,138,28,3.759,10,35,4.217,664,9,239,2337,57470,680,147,0,589,1090,55281,30,0,0,0,0,0,0,0,0,0,0,0
70000,91,30,0,679,141,26,3.796,10,35,4.224,740,12,242,2638,66906,807,163,0,679,1289,64438,33,0,0,0,0,0,0,0,0,0,0,0
80000,97,38,1,664,123,31,3.909,9,41,4.519,811,12,230,2998,75068,916,188,0,787,1552,72254,34,0,0,0,0,0,0,0,0,0,0,0
90000,95,47,3,655,107,42,4.087,9,43,4.692,884,12,229,3311,82962,1006,208,0,886,1775,79844,35,0,0,0,0,0,0,0,0,0,0,0
100000,127,33,3,637,117,30,3.986,9,40,4.609,969,13,232,3676,92148,1127,234,0,1003,2042,88704,37,0,0,0,0,0,0,0,0,0,0,0
110000,122,40,1,637,115,33,4.115,9,41,4.676,1045,14,238,3990,101248,1242,253,0,1089,2269,97507,39,0,0,0,0,0,0,0,0,0,0,0
120000,97,37,2,664,119,32,4.139,9,40,4.772,1121,15,235,4322,110193,1337,276,0,1178,2482,106144,40,0,0,0,0,0,0,0,0,0,0,0
130000,106,48,1,645,108,38,4.034,10,39,4.705,1193,16,226,4647,118448,1430,295,0,1277,2723,114082,42,0,0,0,0,0,0,0,0,0,0,0
140000,76,35,3,686,129,30,3.994,10,38,4.667,1256,16,240,4913,125114,1508,312,0,1351,2872,120508,42,0,0,0,0,0,0,0,0,0,0,0
150000,85,44,4,667,106,39,4.214,10,40,4.793,1313,16,235,5190,132797,1585,335,0,1442,3076,127922,43,0,0,0,0,0,0,0,0,0,0,0
