t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,466,24,2,308,66,21,3.241,7,19,3.639,122,6,259,403,5540,62,23,0,78,5174,21,0,0,0,0,0,0,0,0,0,0,0
20000,289,27,5,479,127,23,3.047,7,24,3.773,271,7,275,913,16398,243,57,0,344,15548,23,0,0,0,0,0,0,0,0,0,0,0
30000,226,26,3,545,155,24,2.939,6,28,3.735,409,10,266,1368,27764,380,87,0,629,26494,27,0,0,0,0,0,0,0,0,0,0,0
40000,248,21,4,527,153,21,2.943,7,26,3.649,578,11,281,1869,39099,522,121,0,990,37365,30,0,0,0,0,0,0,0,0,0,0,0
50000,260,25,7,508,144,24,2.935,6,28,3.619,726,11,280,2351,50671,663,160,0,1344,48487,33,0,0,0,0,0,0,0,0,0,0,0
60000,289,23,3,485,144,23,2.832,6,22,3.5,876,12,276,2817,62548,816,198,0,1694,59942,39,0,0,0,0,0,0,0,0,0,0,0
70000,275,24,3,498,153,23,2.744,6,18,3.301,1050,13,273,3304,74577,951,246,0,2024,71527,41,0,0,0,0,0,0,0,0,0,0,0
80000,269,23,7,501,160,23,2.689,5,20,3.271,1241,14,275,3819,87369,1109,272,0,2367,83829,45,0,0,0,0,0,0,0,0,0,0,0
90000,265,24,3,508,162,23,2.649,5,17,2.931,1412,15,274,4318,99365,1259,305,0,2698,95370,52,0,0,0,0,0,0,0,0,0,0,0
100000,339,23,1,437,141,23,2.598,5,20,2.929,1614,16,268,4831,112230,1414,346,0,3078,107767,58,0,0,0,0,0,0,0,0,0,0,0
