t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,737,3,2,58,13,2,3.6,6,2,0.971,9,4,295,34,331,0,0,0,0,292
10000,686,7,2,105,26,3,3.517,6,2,0.958,23,5,294,81,985,0,0,0,0,895
15000,606,16,5,173,34,11,3.511,6,2,0.956,39,6,292,149,2225,0,0,0,0,2055
20000,504,30,2,264,45,21,3.455,6,2,0.946,60,8,289,240,3650,0,0,0,0,3378
25000,377,36,2,385,67,30,3.443,6,2,0.943,91,10,288,361,5654,0,0,0,0,5255
30000,258,29,6,507,110,24,3.552,6,2,0.964,128,12,289,483,8009,0,0,0,0,7491
35000,182,31,1,586,122,28,3.573,6,2,0.967,144,13,294,562,10179,0,0,0,0,9585
40000,144,25,1,630,140,21,3.689,6,2,0.983,155,14,298,606,11892,0,0,0,0,11260
45000,113,23,1,663,147,21,3.714,6,2,0.985,162,14,299,639,13548,0,0,0,0,12885
50000,86,21,3,690,155,19,3.724,6,2,0.986,168,14,300,666,14873,0,0,0,0,14183
55000,61,21,0,718,160,20,3.733,6,2,0.987,174,14,299,694,15837,0,0,0,0,15122
60000,45,22,0,733,165,19,3.783,6,2,0.991,178,14,300,709,16612,0,0,0,0,15881
65000,32,18,0,750,170,17,3.818,6,2,0.994,181,14,297,726,17211,0,0,0,0,16467
70000,31,16,0,753,173,15,3.83,6,2,0.995,182,14,300,729,17693,0,0,0,0,16948
75000,22,17,1,760,175,15,3.853,6,2,0.996,184,14,298,736,18075,0,0,0,0,17321
80000,21,14,0,765,178,13,3.864,6,2,0.997,185,14,300,741,18402,0,0,0,0,17647
85000,20,15,0,765,177,14,3.864,6,2,0.997,185,14,300,741,18719,0,0,0,0,17963
90000,19,13,0,768,180,12,3.875,6,2,0.997,186,14,300,744,19016,0,0,0,0,18259
95000,18,14,0,768,179,13,3.875,6,2,0.997,186,14,300,744,19351,0,0,0,0,18593
100000,18,14,0,768,179,13,3.875,6,2,0.997,186,14,300,744,19637,0,0,0,0,18879
